Rank,Rank Δ,Player,Cons. Rating,Cons. Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Ws,Ls,Ds,W%,Opps Δ,Ws Δ,Ls Δ,Ds Δ,W% Δ,Timeouts,Timeouts Δ,Last Played,Active
448,-13,morehat,1480.21,-3.3,1628.38,-9.0,49.39,-1.9,66,40,24,2,60.61,3.0,1.0,2.0,0.0,-1.29,0,0.0,2024-12-19,True
449,18,zaij,1479.86,12.48,1557.8,12.69,25.98,0.07,744,384,356,4,51.61,15.0,14.0,1.0,0.0,0.86,0,0.0,2024-12-07,True
450,-13,bemuthbambai,1479.51,-2.16,1578.48,-3.6,32.99,-0.48,161,90,70,1,55.9,15.0,12.0,3.0,0.0,2.48,0,0.0,2024-12-10,True
451,0,marekp,1479.34,3.71,1557.55,3.95,26.07,0.08,530,259,256,5,49.81,15.0,10.0,4.0,1.0,0.5,0,0.0,2024-12-14,True
452,-13,amitke,1479.24,-1.04,1563.39,-1.13,28.05,-0.03,270,145,114,1,55.77,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-08-19,True
453,-11,elin,1478.98,-0.03,1559.11,-0.03,26.71,0.0,336,182,144,2,55.49,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-29,True
454,-9,black8,1478.73,0.55,1599.42,0.67,40.23,0.04,99,53,45,1,53.54,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-04-04,True
455,-14,diaz,1478.27,-0.81,1646.15,-0.51,55.96,0.1,45,22,23,0,48.89,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-07-01,True
456,-29,andriin,1478.25,-8.16,1566.69,-9.27,29.48,-0.37,256,164,92,0,64.06,18.0,11.0,7.0,0.0,-0.23,0,0.0,2024-12-26,True
457,-11,kostello,1478.11,0.0,1679.23,0.0,67.04,0.0,36,25,11,0,69.44,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-02-11,True
458,-18,zathio,1477.24,-2.7,1555.33,-2.28,26.03,0.14,429,231,186,5,54.74,15.0,10.0,5.0,0.0,0.44,0,0.0,2024-12-12,True
459,-1,ricicle,1477.05,5.2,1554.3,5.89,25.75,0.23,635,262,280,4,47.99,15.0,11.0,4.0,0.0,0.72,0,0.0,2024-12-20,True
-,-,xovion,1476.23,0.0,1574.93,0.0,32.9,0.0,168,101,64,3,60.12,0.0,0.0,0.0,0.0,0.0,0,0.0,2021-10-24,False
460,-7,pirigin,1476.05,0.77,1624.49,0.86,49.48,0.03,77,51,23,3,66.23,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-04-04,True
-,-,jordanian,1475.81,-0.11,1575.98,-0.08,33.39,0.01,168,102,65,1,60.71,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-03-06,False
461,-9,nikebarbachiara,1475.76,0.47,1557.45,0.5,27.23,0.01,312,169,142,1,54.17,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-07-01,True
462,72,sdzy,1475.09,39.08,1582.28,34.04,35.73,-1.68,129,63,65,1,48.84,15.0,14.0,1.0,0.0,5.86,0,0.0,2024-12-08,True
463,-39,kaiserschmarrn,1474.63,-12.9,1554.58,-12.93,26.65,-0.01,462,252,205,5,54.55,6.0,0.0,6.0,0.0,-0.71,0,0.0,2024-11-21,True
464,-17,olivier000,1474.56,-3.21,1552.83,-2.79,26.09,0.14,444,225,216,3,50.68,18.0,12.0,6.0,0.0,0.68,0,0.0,2024-12-12,True
465,23,gunker,1474.13,16.68,1552.34,17.13,26.07,0.15,578,314,259,5,54.33,16.0,15.0,1.0,0.0,1.13,0,0.0,2024-12-14,True
-,-,luthenoor,1473.82,0.03,1605.16,0.06,43.78,0.01,84,53,31,0,63.1,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-02-01,False
466,-23,guppyfry,1473.82,-4.62,1550.35,-4.35,25.51,0.09,689,352,327,10,51.09,22.0,11.0,11.0,0.0,-0.03,0,0.0,2025-01-08,True
467,8,kwojtasz,1473.76,11.1,1556.23,10.62,27.49,-0.16,332,177,135,5,55.84,15.0,12.0,3.0,0.0,1.2,0,0.0,2024-12-09,True
468,0,fleepa0,1473.73,6.96,1550.98,7.56,25.75,0.2,714,364,340,10,50.98,15.0,13.0,2.0,0.0,0.77,0,0.0,2024-12-09,True
469,-5,schwam,1473.69,5.07,1551.93,5.46,26.08,0.13,478,257,217,4,53.77,22.0,15.0,7.0,0.0,0.7,0,0.0,2025-01-04,True
470,-14,woodenman,1473.54,0.04,1549.62,0.04,25.36,0.0,486,174,210,3,44.96,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-03-03,True
-,-,eatoreded,1472.84,-0.04,1561.1,-0.04,29.42,0.0,210,111,98,1,52.86,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-03-01,False
-,-,elracha,1472.48,0.2,1551.02,0.23,26.18,0.01,427,242,184,1,56.67,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-06-28,False
-,-,tss,1472.45,-0.19,1756.7,-0.19,94.75,0.0,16,10,5,1,62.5,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-03-01,False
471,-12,gigilamoroso,1471.29,0.04,1550.58,0.04,26.43,0.0,421,221,196,4,52.49,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-07-01,True
