Rank,Rank Δ,Player,Cons. Rating,Cons. Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Ws,Ls,Ds,W%,Opps Δ,Ws Δ,Ls Δ,Ds Δ,W% Δ,Timeouts,Timeouts Δ,Last Played,Active
1,0,airren,1932.83,7.77,2026.31,7.05,31.16,-0.24,259,195,48,1,79.92,3.0,3.0,0.0,0.0,0.25,0,0.0,2024-12-22,True
2,0,whsvin,1921.91,-0.37,2002.52,-0.49,26.87,-0.04,473,336,102,0,76.71,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-11-05,True
3,0,weidenbaum,1886.49,-5.08,1962.99,-5.2,25.5,-0.04,923,585,269,1,68.42,3.0,0.0,3.0,0.0,-0.24,0,0.0,2024-12-22,True
4,0,wawrzyniec,1885.54,-2.59,1964.38,-2.71,26.28,-0.04,445,308,133,4,69.21,3.0,1.0,2.0,0.0,-0.25,0,0.0,2024-12-22,True
5,0,genghisip,1880.08,-1.06,1959.97,-1.06,26.63,0.0,455,309,142,4,67.91,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-09-10,True
6,0,pascalotopia,1875.0,-0.5,1957.11,-0.5,27.37,0.0,322,222,99,1,68.94,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-09-10,True
7,0,martin_pecheur,1871.55,3.03,1947.57,2.97,25.34,-0.02,1000,627,311,9,66.21,3.0,2.0,1.0,0.0,0.0,0,0.0,2024-12-22,True
8,0,direntropy,1865.58,-0.05,1956.6,-0.05,30.34,0.0,272,150,51,0,74.63,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-30,True
9,0,st4nkk,1861.78,0.29,1957.69,0.23,31.97,-0.02,303,242,61,0,79.87,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-09-10,True
-,-,leonc,1859.3,0.0,1968.02,0.0,36.24,0.0,168,80,19,2,79.21,0.0,0.0,0.0,0.0,0.0,0,0.0,2020-10-28,False
10,1,lambda,1848.77,-0.09,1936.55,-0.12,29.26,-0.01,270,200,66,4,74.07,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-09-04,True
11,1,pv4,1837.53,1.5,1912.89,1.47,25.12,-0.01,707,433,266,8,61.24,4.0,2.0,2.0,0.0,-0.07,0,0.0,2024-12-05,True
12,2,palino,1826.04,1.07,1903.8,1.1,25.92,0.01,657,363,192,0,65.41,4.0,3.0,1.0,0.0,0.07,0,0.0,2025-01-15,True
13,0,dirkules,1824.44,-0.83,1903.64,-0.83,26.4,0.0,363,241,121,1,66.39,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-07-15,True
14,1,lemmingsplayer,1815.48,0.34,1904.97,0.34,29.83,0.0,223,171,50,2,76.68,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-31,True
15,2,pajada,1813.6,4.16,1889.38,4.04,25.26,-0.04,1083,557,359,12,60.02,7.0,5.0,2.0,0.0,0.09,0,0.0,2025-01-04,True
16,+16,sandwhale,1812.73,-2.28,1897.81,-2.64,28.36,-0.12,254,173,81,0,68.11,3.0,1.0,2.0,0.0,-0.42,0,0.0,2024-12-05,True
17,11,sandhippo,1812.43,35.88,2001.16,28.71,62.91,-2.39,39,30,9,0,76.92,3.0,3.0,0.0,0.0,1.92,0,0.0,2024-10-31,True
18,-2,funestus,1810.8,0.35,1889.82,0.38,26.34,0.01,379,272,106,1,71.77,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-29,True
-,-,silent_x111,1808.68,0.03,1887.91,0.03,26.41,0.0,398,206,115,0,64.17,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-07-06,False
19,-1,a440,1808.23,-0.32,1890.79,-0.32,27.52,0.0,342,188,78,2,70.15,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-07-30,True
-,-,binki,1806.91,0.29,1884.46,0.29,25.85,0.0,505,341,160,4,67.52,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-12-03,False
20,-1,wolvs,1797.65,-5.94,1874.24,-6.12,25.53,-0.06,837,554,253,8,67.98,7.0,2.0,5.0,0.0,-0.34,0,0.0,2025-01-04,True
21,-11,pigfans,1796.16,-55.1,1968.75,-68.93,57.53,-4.61,78,65,13,0,83.33,7.0,2.0,5.0,0.0,-5.4,0,0.0,2025-01-05,True
22,-2,majondor,1794.37,2.51,1871.29,2.45,25.64,-0.02,583,370,203,2,64.35,3.0,2.0,1.0,0.0,0.01,0,0.0,2024-12-13,True
23,-2,e5582768,1791.7,0.35,1904.8,0.41,37.7,0.02,119,78,40,1,65.55,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-31,True
24,1,eepogi,1791.49,9.88,1867.48,9.88,25.33,0.0,808,482,297,6,61.4,7.0,7.0,0.0,0.0,0.35,0,0.0,2025-01-05,True
25,4,grozz,1791.02,15.2,1874.69,14.6,27.89,-0.2,280,205,64,3,75.37,7.0,7.0,0.0,0.0,0.65,0,0.0,2025-01-06,True
26,-3,dannyboy14,1788.77,0.26,1866.5,0.26,25.91,0.0,429,285,141,3,66.43,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-29,True
27,-3,daneo,1787.01,-0.78,1864.89,-0.87,25.96,-0.03,412,265,141,6,64.32,7.0,4.0,3.0,0.0,-0.12,0,0.0,2025-01-05,True
28,-6,sohoof,1784.42,-6.74,1873.28,-7.37,29.62,-0.21,237,176,60,1,74.26,3.0,0.0,3.0,0.0,-0.95,0,0.0,2024-12-13,True
29,-2,saru,1783.72,5.8,1861.99,5.68,26.09,-0.04,773,479,221,14,67.09,7.0,6.0,1.0,0.0,0.19,0,0.0,2025-01-06,True
-,-,veivi,1782.96,-5.97,1869.51,-6.33,28.85,-0.12,246,163,82,1,66.26,3.0,0.0,3.0,0.0,-0.82,0,0.0,2022-04-08,False
30,-4,lcfyx,1781.33,-0.15,1857.2,-0.18,25.29,-0.01,543,342,197,4,62.98,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-31,True
31,0,arne,1777.59,4.15,1863.03,3.85,28.48,-0.1,275,201,73,1,73.09,3.0,2.0,1.0,0.0,-0.07,0,0.0,2024-12-12,True
-,-,rabbles,1774.72,-0.32,1869.1,-0.23,31.46,0.03,244,185,58,1,75.82,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-09-03,False
32,-2,aarongreen,1774.09,-0.52,1848.76,-0.52,24.89,0.0,740,343,252,4,57.26,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-30,True
33,-1,mbbchess,1768.73,-1.18,1855.31,-1.45,28.86,-0.09,282,207,74,1,73.4,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-09-10,True
34,2,eske,1767.7,5.29,1845.04,5.2,25.78,-0.03,512,333,174,5,65.04,3.0,3.0,0.0,0.0,0.21,0,0.0,2024-12-15,True
35,-2,sugoi,1763.73,0.38,1859.4,0.29,31.89,-0.03,240,175,64,1,72.92,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-07-01,True
36,-2,gz95,1762.86,-0.16,1894.11,-0.22,43.75,-0.02,97,73,24,0,75.26,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-08-11,True
37,0,barboucha,1758.92,-0.14,1836.98,-0.17,26.02,-0.01,385,270,112,3,70.13,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-09-04,True
38,1,jaracz,1758.11,-0.25,1838.45,-0.25,26.78,0.0,436,326,104,6,74.77,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-29,True
39,1,totsilence,1757.34,-0.69,1832.85,-0.69,25.17,0.0,861,532,273,5,65.68,5.0,2.0,3.0,0.0,-0.16,0,0.0,2024-10-31,True
40,-5,dantes,1757.11,-5.4,1873.54,-8.19,38.81,-0.93,112,78,34,0,69.64,5.0,2.0,3.0,0.0,-1.39,0,0.0,2025-01-02,True
-,-,andrethegiant,1756.87,-0.42,1838.47,-0.39,27.2,0.01,294,202,92,0,68.71,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-07-18,False
41,1,footloop,1755.5,-0.29,1834.52,-0.29,26.34,0.0,441,275,160,6,62.36,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-07-15,True
-,-,dots,1754.16,0.05,1860.24,0.05,35.36,0.0,146,91,38,0,70.54,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-01-01,False
42,1,megumi,1753.68,-0.15,1948.83,-0.27,65.05,-0.04,34,25,9,0,73.53,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-31,True
-,-,cleanbulk,1753.62,-0.21,1833.96,-0.21,26.78,0.0,355,231,121,3,65.07,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-07-30,False
43,1,angor,1751.76,-0.16,1828.65,-0.16,25.63,0.0,489,322,163,4,65.85,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-09-04,True
44,1,himmelstosh,1751.71,0.17,1827.94,0.17,25.41,0.0,595,319,230,8,57.27,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-07-15,True
45,-7,caesarsalah,1751.65,-7.06,1827.82,-7.24,25.39,-0.06,958,577,373,8,60.23,7.0,2.0,5.0,0.0,-0.23,0,0.0,2025-01-03,True
46,0,mwi,1748.51,-2.19,1828.16,-2.49,26.55,-0.1,320,208,110,2,65.0,7.0,3.0,4.0,0.0,-0.5,0,0.0,2025-01-06,True
-,-,jmamos,1747.89,0.34,1851.57,0.31,34.56,-0.01,177,138,39,0,77.97,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-06-06,False
-,-,p373r,1747.35,-0.09,1904.07,-0.12,52.24,-0.01,96,82,14,0,85.42,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-09-04,False
-,-,kolo,1746.97,0.13,1855.96,0.13,36.33,0.0,132,94,37,1,71.21,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-02-01,False
47,-6,yaba,1743.23,-14.68,1819.76,-14.71,25.51,-0.01,570,326,209,7,60.15,7.0,0.0,7.0,0.0,-0.78,0,0.0,2025-01-12,True
48,-1,dazzy,1742.31,-7.41,1819.44,-7.62,25.71,-0.07,499,325,168,6,65.13,7.0,2.0,5.0,0.0,-0.52,0,0.0,2025-01-08,True
49,6,gandin,1741.45,4.31,1818.97,4.22,25.84,-0.03,435,286,146,3,65.75,3.0,3.0,0.0,0.0,0.24,0,0.0,2024-12-15,True
50,0,brightfuture,1741.43,0.3,1817.9,0.18,25.49,-0.04,669,467,200,2,69.81,7.0,4.0,3.0,0.0,-0.13,0,0.0,2025-01-06,True
51,-3,lech,1741.05,-1.93,1817.19,-1.99,25.38,-0.02,534,349,183,2,65.36,3.0,1.0,2.0,0.0,-0.18,0,0.0,2024-12-10,True
52,-3,bobaboba,1740.96,-2.02,1883.52,-0.97,47.52,0.35,92,68,24,0,73.91,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-09-22,True
53,-2,sylvain,1739.91,0.56,1816.11,0.47,25.4,-0.03,800,463,332,5,57.88,5.0,3.0,2.0,0.0,0.02,0,0.0,2025-01-13,True
54,-2,gilgamesh2,1739.42,0.29,1841.81,0.32,34.13,0.01,213,167,46,0,78.4,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-31,True
-,-,weida,1737.54,31.04,1948.32,27.41,70.26,-1.21,33,22,11,0,66.67,1.0,1.0,0.0,0.0,1.05,0,0.0,2022-07-01,False
55,3,tamirys,1735.54,0.8,1811.5,0.77,25.32,-0.01,841,420,311,6,56.99,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-30,True
56,0,oprah,1735.34,-0.17,1810.64,-0.11,25.1,0.02,786,494,289,3,62.85,4.0,2.0,2.0,0.0,-0.07,0,0.0,2025-01-05,True
-,-,japhet,1734.96,0.0,1859.49,0.0,41.51,0.0,98,40,13,0,75.47,0.0,0.0,0.0,0.0,0.0,0,0.0,2020-11-08,False
57,-3,boromir7,1734.94,-2.22,1810.36,-2.28,25.14,-0.02,765,477,280,8,62.35,3.0,1.0,2.0,0.0,-0.12,0,0.0,2024-12-10,True
-,-,mad_tyrion,1732.45,0.04,1984.06,0.01,83.87,-0.01,66,63,3,0,95.45,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-09-04,False
-,-,toper,1730.18,0.0,1855.58,0.0,41.8,0.0,90,26,13,1,65.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2019-08-22,False
58,-1,drrernate,1728.74,-6.68,1804.76,-6.8,25.34,-0.04,845,399,275,7,58.59,7.0,2.0,5.0,0.0,-0.31,0,0.0,2025-01-19,True
-,-,cyphen,1727.76,0.06,1805.82,0.06,26.02,0.0,414,222,147,4,59.52,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-09-03,False
59,0,321letsjam,1727.08,0.11,1805.38,0.11,26.1,0.0,398,272,114,3,69.92,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-31,True
-,-,maxxxx,1726.68,0.9,1834.92,0.48,36.08,-0.14,150,107,41,2,71.33,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-07-18,False
60,0,iyakhoop,1726.64,0.25,1803.26,0.22,25.54,-0.01,713,420,271,15,59.49,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-01,True
-,-,invalidname,1723.15,0.3,1801.78,0.3,26.21,0.0,420,202,131,2,60.3,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-04-16,False
61,-8,fourierrr,1723.08,-15.43,1800.51,-15.67,25.81,-0.08,437,280,142,1,66.19,7.0,0.0,7.0,0.0,-1.12,0,0.0,2025-01-02,True
-,-,hierostrafio,1722.64,0.0,1807.81,0.0,28.39,0.0,228,137,89,2,60.09,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-05-01,False
62,-1,doughnut,1722.6,-0.42,1812.12,-0.48,29.84,-0.02,223,159,61,3,71.3,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-07-15,True
-,-,edan92,1722.52,-0.11,1801.48,-0.11,26.32,0.0,374,215,125,3,62.68,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-11-18,False
-,-,bool,1722.32,-0.2,1851.32,-0.32,43.0,-0.04,87,59,28,0,67.82,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-07-18,False
-,-,frotes,1720.73,0.0,1798.91,0.0,26.06,0.0,354,160,111,3,58.39,0.0,0.0,0.0,0.0,0.0,0,0.0,2021-12-05,False
-,-,mm34nn,1718.44,0.0,1809.67,0.0,30.41,0.0,178,94,60,2,60.26,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-03-06,False
63,0,vantablack,1717.92,4.98,1793.19,5.01,25.09,0.01,788,477,307,4,60.53,4.0,4.0,0.0,0.0,0.2,0,0.0,2025-01-10,True
64,-2,sjir,1717.04,-0.67,1793.54,-0.67,25.5,0.0,610,350,227,4,60.24,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-07-15,True
-,-,shorty55,1716.83,-0.03,1805.57,-0.03,29.58,0.0,223,124,69,2,63.59,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-05-01,False
-,-,veikka,1714.74,0.34,1790.85,0.31,25.37,-0.01,511,314,194,3,61.45,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-11-15,False
-,-,olorin_,1713.95,0.16,1818.92,0.13,34.99,-0.01,148,109,38,1,73.65,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-06-05,False
65,1,draculade,1712.81,2.21,1791.35,2.0,26.18,-0.07,476,312,160,4,65.55,5.0,3.0,2.0,0.0,-0.06,0,0.0,2024-12-15,True
66,-1,sektat,1711.9,0.21,1788.46,0.06,25.52,-0.05,461,284,174,3,61.61,7.0,4.0,3.0,0.0,-0.06,0,0.0,2025-01-12,True
-,-,ktung,1709.6,-0.14,1786.7,-0.14,25.7,0.0,390,239,150,1,61.28,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-06-04,False
67,-3,firstofdao,1707.59,-5.21,1784.24,-5.24,25.55,-0.01,585,373,209,3,63.76,7.0,3.0,4.0,0.0,-0.25,0,0.0,2025-01-10,True
68,0,mlhibou,1706.66,-0.03,1800.95,-0.03,31.43,0.0,198,111,55,0,66.87,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-30,True
-,-,zulda,1704.04,0.0,1794.43,0.0,30.13,0.0,188,118,68,2,62.77,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-05-01,False
69,0,snailzane,1703.7,-0.12,1780.05,-0.12,25.45,0.0,560,317,243,0,56.61,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-09-15,True
70,-3,flackk,1702.32,-5.57,1778.37,-5.63,25.35,-0.02,535,345,184,6,64.49,3.0,0.0,3.0,0.0,-0.36,0,0.0,2024-12-12,True
71,3,tordread,1701.94,3.67,1777.21,3.64,25.09,-0.01,877,523,345,9,59.64,7.0,5.0,2.0,0.0,0.1,0,0.0,2025-01-10,True
72,-2,gothark,1701.37,0.72,1804.33,-0.33,34.32,-0.35,182,143,37,2,78.57,3.0,2.0,1.0,0.0,-0.2,0,0.0,2024-12-16,True
73,3,praetorianer,1700.41,3.17,1775.5,3.14,25.03,-0.01,1184,596,469,5,55.7,7.0,5.0,2.0,0.0,0.1,0,0.0,2025-01-06,True
74,19,vanishadow,1699.27,15.96,1822.27,11.91,41.0,-1.35,104,78,25,1,75.0,6.0,4.0,2.0,0.0,-0.51,0,0.0,2024-10-31,True
75,-2,rutgerhauer,1698.5,0.19,1777.52,0.16,26.34,-0.01,387,256,129,2,66.15,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-29,True
76,5,magnetiseur,1698.16,5.54,1774.57,5.51,25.47,-0.01,577,357,215,5,61.87,3.0,3.0,0.0,0.0,0.2,0,0.0,2024-12-10,True
77,-5,wanderingwolf,1698.11,-0.61,1773.95,-0.64,25.28,-0.01,623,382,234,7,61.32,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-29,True
78,-3,idkidcidgaf,1697.85,0.04,1808.94,0.01,37.03,-0.01,135,108,26,1,80.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-07-01,True
79,-8,zadokk,1697.34,-2.22,1772.91,-2.22,25.19,0.0,574,350,220,4,60.98,3.0,1.0,2.0,0.0,-0.14,0,0.0,2024-12-15,True
80,-3,elo8000,1696.59,0.2,1846.68,0.05,50.03,-0.05,106,92,14,0,86.79,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-13,True
81,-1,fjantarik,1696.22,0.86,1780.67,0.74,28.15,-0.04,285,196,89,0,68.77,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-29,True
82,-4,djparson,1696.05,0.49,1772.19,0.46,25.38,-0.01,784,397,341,3,53.58,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-29,True
-,-,kyshantry,1696.04,0.18,1778.3,0.15,27.42,-0.01,266,150,115,1,56.39,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-04-16,False
83,2,gutemetralla,1695.74,5.59,1781.24,4.99,28.5,-0.2,264,175,89,0,66.29,4.0,3.0,1.0,0.0,0.14,0,0.0,2025-01-08,True
-,-,qyi,1695.45,0.0,1836.03,0.0,46.86,0.0,84,65,19,0,77.38,0.0,0.0,0.0,0.0,0.0,0,0.0,2021-03-02,False
-,-,kuchjir,1694.61,0.0,1780.29,0.0,28.56,0.0,246,76,69,1,52.05,0.0,0.0,0.0,0.0,0.0,0,0.0,2021-05-07,False
84,0,delonecarter,1692.72,2.51,1769.52,2.45,25.6,-0.02,631,407,199,8,66.29,2.0,2.0,0.0,0.0,0.11,0,0.0,2024-12-04,True
-,-,maximpodg,1692.56,0.04,1780.85,-0.02,29.43,-0.02,210,128,82,0,60.95,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-04-16,False
85,-3,fizi,1691.95,0.19,1792.24,0.25,33.43,0.02,154,67,57,3,52.76,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-07-07,True
86,0,mruczekw,1690.02,0.08,1786.05,0.08,32.01,0.0,206,154,51,1,74.76,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-01,True
87,0,spartacusimperator,1689.02,-0.23,1766.15,-0.26,25.71,-0.01,405,244,158,3,60.25,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-09-15,True
88,0,restlessme,1687.87,-1.15,1762.6,-1.15,24.91,0.0,818,483,330,5,59.05,7.0,3.0,4.0,0.0,-0.14,0,0.0,2025-01-03,True
89,0,chumchu,1686.83,0.01,1776.83,0.01,30.0,0.0,184,54,49,0,52.43,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-02-06,True
90,1,weisswurst,1685.74,0.03,1762.54,0.0,25.6,-0.01,522,315,203,4,60.34,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-29,True
-,-,chuckles_the_second,1685.04,0.06,1768.83,0.06,27.93,0.0,245,159,83,3,64.9,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-12-03,False
91,-8,huettengaudi,1684.7,-6.67,1760.24,-6.64,25.18,0.01,612,367,243,2,59.97,3.0,0.0,3.0,0.0,-0.29,0,0.0,2024-12-22,True
92,30,drsniken,1683.54,28.25,1824.0,23.21,46.82,-1.68,75,53,21,1,70.67,5.0,5.0,0.0,0.0,2.1,0,0.0,2024-12-19,True
93,7,daimx,1683.22,9.11,1758.79,9.11,25.19,0.0,650,381,269,0,58.62,7.0,5.0,2.0,0.0,0.14,0,0.0,2025-01-05,True
94,0,karlthomas,1682.73,0.26,1758.54,0.26,25.27,0.0,576,343,227,6,59.55,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-31,True
95,0,ben0728,1682.42,1.22,1763.72,1.01,27.1,-0.07,340,228,112,0,67.06,3.0,2.0,1.0,0.0,0.0,0,0.0,2024-12-10,True
96,-4,ristey,1682.08,-1.88,1757.41,-1.85,25.11,0.01,824,491,310,5,60.92,7.0,3.0,4.0,0.0,-0.16,0,0.0,2025-01-15,True
-,-,straalberg,1682.03,-0.12,1795.28,-0.15,37.75,-0.01,120,87,33,0,72.5,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-07-30,False
97,2,elchupacabra,1679.52,4.92,1757.73,4.8,26.07,-0.04,418,271,144,3,64.83,7.0,5.0,1.0,1.0,0.11,0,0.0,2025-01-15,True
98,-8,mushan,1679.01,-7.73,1766.28,-8.18,29.09,-0.15,225,101,95,4,50.5,3.0,0.0,3.0,0.0,-0.77,0,0.0,2024-12-14,True
99,-3,nickeberg,1678.69,-1.31,1766.14,-1.25,29.15,0.02,223,136,87,0,60.99,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-29,True
-,-,ronnan,1678.2,-0.02,1799.73,-0.02,40.51,0.0,90,56,34,0,62.22,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-05-14,False
100,-3,maiquelps,1678.0,-0.37,1754.26,-0.37,25.42,0.0,625,379,244,2,60.64,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-31,True
101,-3,papaver,1677.82,3.02,1757.56,2.87,26.58,-0.05,413,278,131,4,67.31,3.0,2.0,1.0,0.0,-0.01,0,0.0,2024-12-13,True
-,-,bram,1677.53,-0.05,1757.45,-0.02,26.64,0.01,321,178,141,2,55.45,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-06-06,False
102,-1,diddleysquat,1675.14,1.24,1752.18,1.18,25.68,-0.02,608,372,233,3,61.18,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-11-05,True
103,-1,djlaodie,1673.16,-0.4,1767.27,-0.37,31.37,0.01,206,133,67,6,64.56,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-31,True
104,0,freddycrugerkiller,1672.15,0.4,1747.36,0.37,25.07,-0.01,705,381,309,9,54.51,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-09-04,True
105,1,littlebob,1671.07,2.22,1746.37,2.19,25.1,-0.01,697,396,299,2,56.81,3.0,2.0,1.0,0.0,0.04,0,0.0,2024-12-10,True
106,-1,raulone,1670.19,0.03,1762.02,0.09,30.61,0.02,191,128,63,0,67.02,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-31,True
107,0,spartan1337,1669.17,0.32,1744.65,0.32,25.16,0.0,679,408,263,8,60.09,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-31,True
108,0,takusto_ii,1668.46,0.39,1743.91,0.39,25.15,0.0,1067,473,424,7,52.32,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-31,True
109,0,kimmo,1667.53,0.05,1742.83,0.05,25.1,0.0,1079,493,452,11,51.57,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-31,True
-,-,xren1101,1666.92,0.03,1755.93,0.03,29.67,0.0,248,148,69,2,67.58,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-06-06,False
110,+110,plunderteig,1666.91,,2050.79,,127.96,,15,15,0,0,100.0,,,,,,0,,2024-12-11,True
111,3,jezza101,1666.89,2.01,1750.53,1.8,27.88,-0.07,325,213,109,3,65.54,3.0,2.0,1.0,0.0,0.01,0,0.0,2024-12-25,True
112,0,folken91,1666.1,1.1,1746.38,1.16,26.76,0.02,342,216,122,4,63.16,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-07-15,True
113,-3,whateverparsley,1665.87,-0.31,1742.25,-0.34,25.46,-0.01,563,342,218,3,60.75,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-31,True
114,-1,occupied,1665.09,0.21,1741.02,0.18,25.31,-0.01,683,365,263,5,57.66,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-10-30,True
-,-,slig123,1664.36,0.0,1756.88,0.0,30.84,0.0,214,88,58,3,59.06,0.0,0.0,0.0,0.0,0.0,0,0.0,2021-02-07,False
-,-,artplay,1663.81,0.24,1746.97,0.24,27.72,0.0,283,179,102,2,63.25,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-11-15,False
115,-36,cogito3,1663.72,-31.79,1821.91,-66.2,52.73,-11.47,118,100,18,0,84.75,37.0,28.0,9.0,0.0,-4.14,0,0.0,2025-01-25,True
116,0,discodancer,1663.57,0.3,1747.18,0.33,27.87,0.01,270,181,87,2,67.04,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-09-04,True
-,-,gorozei-12ans,1663.24,0.21,1756.39,0.15,31.05,-0.02,190,127,63,0,66.84,0.0,0.0,0.0,0.0,0.0,0,0.0,2023-06-06,False
117,9,gomensky,1662.72,10.1,1747.98,9.29,28.42,-0.27,287,208,78,1,72.47,7.0,5.0,2.0,0.0,-0.03,0,0.0,2025-01-04,True
118,1,blixlt,1661.23,4.09,1736.59,4.03,25.12,-0.02,1470,693,585,11,53.76,7.0,4.0,3.0,0.0,0.02,0,0.0,2025-01-08,True
-,-,tomaszchwiszczuk,1658.79,-0.01,1755.45,-0.01,32.22,0.0,174,93,60,3,59.62,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-03-06,False
119,-1,isaia,1657.68,-0.14,1743.09,-0.14,28.47,0.0,312,199,111,2,63.78,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-02-23,True
-,-,superdon,1655.83,0.0,1962.49,0.0,102.22,0.0,16,13,3,0,81.25,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-03-01,False
-,-,kesterer,1655.32,-0.03,1842.28,-0.03,62.32,0.0,54,44,10,0,81.48,0.0,0.0,0.0,0.0,0.0,0,0.0,2022-09-04,False
-,-,vikingleif,1655.2,-0.1,1732.57,-0.1,25.79,0.0,425,245,179,1,57.65,0.0,0.0,0.0,0.0,0.0,0,0.0,2024-01-05,False
120,0,borz.zrob,1655.18,-1.04,1731.38,-1.1,25.4,-0.02,584,348,233,3,59.59,3.0,1.0,2.0,0.0,-0.13,0,0.0,2024-12-15,True
