Rank,Rank Δ,Player,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played
-,-,ShiLin,1584.32,-3.02,1749.1,0.0,54.93,1.01,116,0.0,87,0.0,29,0.0,0,0.0,75.0,0.0,2022-09-04
313,-3,InfiniteZest,1583.12,-6.64,1658.28,0.0,25.05,2.21,556,0.0,303,0.0,251,0.0,2,0.0,54.5,0.0,2025-05-11
314,-11,Bidenbaum,1583.08,-9.46,1836.56,-56.58,84.49,-15.71,32,8.0,28,5.0,4,3.0,0,0.0,87.5,-8.33,2025-07-08
-,-,Fingerzam,1583.03,-3.25,1734.8,0.0,50.59,1.08,72,0.0,52,0.0,20,0.0,0,0.0,72.22,0.0,2024-07-01
315,57,amaj,1582.38,24.12,1779.77,19.49,65.8,-1.54,36,2.0,34,2.0,2,0.0,0,0.0,94.44,0.32,2025-06-23
316,-1,Buldozer_bga,1582.3,-2.05,1667.35,3.19,28.35,1.74,265,3.0,157,2.0,107,1.0,1,0.0,59.25,0.09,2025-06-26
317,2,Taeybae,1581.38,-2.77,1758.72,0.0,59.11,0.92,44,0.0,28,0.0,16,0.0,0,0.0,63.64,0.0,2025-03-22
318,0,Boristina,1580.55,-3.6,1720.69,0.0,46.71,1.2,72,0.0,52,0.0,19,0.0,1,0.0,72.22,0.0,2025-05-31
319,-20,DadboBaggins,1580.45,-13.87,1653.21,-7.33,24.25,2.18,575,5.0,319,0.0,252,5.0,4,0.0,55.48,-0.48,2025-07-08
320,-6,SimTubez,1579.68,-6.39,1674.23,0.0,31.52,2.13,493,0.0,304,0.0,186,0.0,3,0.0,61.66,0.0,2025-05-31
-,-,gallinule,1579.48,-3.16,1736.36,0.0,52.29,1.05,130,0.0,65,0.0,63,0.0,2,0.0,50.0,0.0,2022-11-18
-,-,ScoliopusB,1579.17,-4.7,1686.99,0.0,35.94,1.57,456,0.0,262,0.0,189,0.0,5,0.0,57.46,0.0,2024-04-28
321,-4,LordPeter,1577.89,-6.35,1658.26,0.0,26.79,2.12,381,0.0,213,0.0,163,0.0,5,0.0,55.91,0.0,2025-05-15
322,-1,Pule,1577.5,-5.79,1662.9,0.0,28.47,1.93,383,0.0,212,0.0,171,0.0,0,0.0,55.35,0.0,2025-05-11
323,0,JSauve,1577.49,-4.34,1694.97,0.0,39.16,1.45,120,0.0,77,0.0,43,0.0,0,0.0,64.17,0.0,2025-05-13
324,77,GerionLannister,1577.21,30.65,1740.58,18.26,54.46,-4.13,51,8.0,43,6.0,8,2.0,0,0.0,84.31,-1.74,2025-07-07
325,0,yliu386,1576.56,-4.07,1697.24,0.0,40.23,1.36,120,0.0,80,0.0,40,0.0,0,0.0,66.67,0.0,2025-05-31
-,-,Dunedain,1576.26,-6.48,1680.62,0.0,34.79,2.16,556,0.0,315,0.0,233,0.0,8,0.0,56.65,0.0,2024-06-03
326,-14,JimmyLin,1576.21,-10.78,1645.76,-3.26,23.18,2.51,1194,5.0,586,1.0,596,4.0,12,0.0,49.08,-0.12,2025-07-08
327,-14,gamblerch,1575.92,-11.03,1659.0,-5.21,27.69,1.94,468,5.0,243,1.0,222,3.0,3,1.0,51.92,-0.35,2025-07-01
328,-6,Sengir80,1575.56,-7.05,1679.22,-3.65,34.55,1.13,150,3.0,94,1.0,56,2.0,0,0.0,62.67,-0.6,2025-07-01
-,-,Cokey,1575.4,-3.69,1722.02,0.0,48.87,1.23,144,0.0,86,0.0,54,0.0,4,0.0,59.72,0.0,2022-12-04
329,-5,vodka,1575.07,-6.73,1649.69,0.0,24.87,2.24,751,0.0,438,0.0,310,0.0,3,0.0,58.32,0.0,2025-05-30
330,-4,GoblinMatron,1574.72,-4.99,1673.92,0.0,33.07,1.66,159,0.0,96,0.0,62,0.0,1,0.0,60.38,0.0,2025-05-15
