Rank,Rank Δ,Player,Code,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played,Title,Leaderboard Rank
1,0,Weidenbaum,DE,1973.47,-26.63,2127.26,-32.9,51.26,-2.09,83,7.0,67,3.0,16,4.0,0,0.0,80.72,-3.49,2025-02-26,GM,1.0
-,-,Ender_Wiggin,CN,1922.28,-2.04,2164.19,0.0,80.64,0.68,30,0.0,26,0.0,3,0.0,1,0.0,86.67,0.0,2022-07-01,-,-
2,0,SandHippo,CN,1914.66,-2.41,2119.51,0.0,68.28,0.8,39,0.0,30,0.0,9,0.0,0,0.0,76.92,0.0,2024-10-31,-,153.0
3,0,Martin_Pecheur,FR,1912.42,7.52,2035.27,5.66,40.95,-0.62,129,7.0,95,4.0,32,2.0,2,1.0,73.64,-0.95,2025-02-12,GM,2.0
4,3,vanishadow,CN,1903.35,29.43,2080.23,14.09,58.96,-5.12,51,7.0,36,5.0,14,2.0,1,0.0,70.59,0.14,2025-02-10,-,41.0
5,-1,Genghisip,UA,1881.87,-2.51,2077.88,0.0,65.34,0.84,51,0.0,40,0.0,7,0.0,4,0.0,78.43,0.0,2024-09-10,GM,81.0
6,-1,GZ95,CN,1874.93,-2.28,2090.55,0.0,71.87,0.76,37,0.0,35,0.0,2,0.0,0,0.0,94.59,0.0,2024-08-11,-,129.0
7,2,ben0728,KR,1871.96,33.79,1997.64,30.33,41.89,-1.15,122,10.0,94,9.0,28,1.0,0,0.0,77.05,1.16,2025-02-14,-,98.0
8,-2,saru,CN,1871.46,-3.69,1987.89,-4.51,38.81,-0.27,156,7.0,121,3.0,34,4.0,1,0.0,77.56,-1.63,2025-02-16,M,5.0
9,-1,Airren,US,1847.47,-1.87,2110.47,0.0,87.67,0.62,22,0.0,18,0.0,4,0.0,0,0.0,81.82,0.0,2024-08-11,GM,69.0
10,6,DANeo,DE,1833.57,40.38,1990.31,30.51,52.25,-3.29,73,7.0,54,6.0,18,1.0,1,0.0,73.97,1.24,2025-02-09,GM,9.0
11,4,Eepogi,FI,1817.07,20.94,1954.79,18.66,45.91,-0.76,82,6.0,59,6.0,22,0.0,1,0.0,71.95,2.21,2025-02-10,GM,4.0
12,9,megumi,CN,1815.16,36.46,2005.64,15.18,63.5,-7.09,41,7.0,30,5.0,11,2.0,0,0.0,73.17,-0.36,2025-02-09,-,237.0
13,-2,Himmelstosh,RU,1813.72,-2.57,2005.94,0.0,64.07,0.86,55,0.0,41,0.0,13,0.0,1,0.0,74.55,0.0,2024-07-15,GM,49.0
14,12,pv4,BE,1810.33,46.4,1961.7,38.53,50.46,-2.62,71,7.0,45,7.0,24,0.0,2,0.0,63.38,4.0,2025-02-20,GM,3.0
15,-5,pajada,CZ,1806.59,-27.48,1955.61,-35.1,49.67,-2.54,74,7.0,53,1.0,21,6.0,0,0.0,71.62,-5.99,2025-02-15,GM,8.0
16,-4,FirstOfDao,CN,1805.34,-4.49,1919.39,-4.97,38.02,-0.16,133,7.0,86,3.0,47,4.0,0,0.0,64.66,-1.21,2025-02-13,P,50.0
17,3,wolvs,UA,1792.71,7.19,1898.1,7.89,35.13,0.23,161,9.0,111,7.0,49,2.0,1,0.0,68.94,0.52,2025-02-09,GM,6.0
18,-1,Sugoi,CA,1789.79,-2.96,1957.1,0.0,55.77,0.99,66,0.0,48,0.0,18,0.0,0,0.0,72.73,0.0,2024-07-01,P,217.0
19,-1,Wawrzyniec,PL,1787.69,-2.66,1973.88,0.0,62.06,0.89,49,0.0,35,0.0,14,0.0,0,0.0,71.43,0.0,2024-09-10,GM,113.0
20,-6,totsilence,DE,1785.61,-11.15,1910.58,-13.27,41.66,-0.71,118,7.0,77,3.0,41,4.0,0,0.0,65.25,-1.42,2025-02-14,GM,14.0
21,1,Dazzy,CN,1780.72,3.78,1895.1,2.26,38.13,-0.51,146,10.0,93,7.0,52,3.0,1,0.0,63.7,0.46,2025-02-15,M,23.0
-,-,Weida,CN,1777.26,-2.13,2007.83,0.0,76.86,0.71,33,0.0,22,0.0,11,0.0,0,0.0,66.67,0.0,2022-07-01,-,-
-,-,pigfans,CN,1774.23,-1.77,2050.75,0.0,92.18,0.59,24,0.0,20,0.0,4,0.0,0,0.0,83.33,0.0,2022-05-26,-,760.0
22,1,Palino,SK,1772.56,-1.94,2025.54,0.0,84.33,0.65,27,0.0,23,0.0,4,0.0,0,0.0,85.19,0.0,2024-07-15,GM,195.0
23,14,Grozz,RU,1766.76,42.92,1929.76,31.02,54.33,-3.97,65,7.0,53,6.0,12,1.0,0,0.0,81.54,0.51,2025-02-10,M,39.0
24,0,e5582768,CN,1764.45,-2.69,1947.34,0.0,60.96,0.9,50,0.0,34,0.0,16,0.0,0,0.0,68.0,0.0,2024-10-31,-,51.0
25,0,321letsjam,DE,1763.31,-3.64,1900.03,0.0,45.57,1.21,87,0.0,60,0.0,26,0.0,1,0.0,68.97,0.0,2024-10-31,G,28.0
26,-7,Brightfuture,RU,1760.82,-25.17,1874.91,-25.43,38.03,-0.09,136,7.0,93,1.0,42,6.0,1,0.0,68.38,-2.94,2025-02-20,P,24.0
27,-14,Flackk,BG,1758.72,-50.89,1933.26,-65.63,58.18,-4.91,47,7.0,32,1.0,15,6.0,0,0.0,68.09,-9.41,2025-02-16,P,26.0
28,43,Arne,DE,1755.43,120.59,1953.8,78.03,66.13,-14.19,35,12.0,26,10.0,9,2.0,0,0.0,74.29,4.72,2025-02-13,M,47.0
29,2,Lcfyx,FR,1754.47,11.55,1892.55,7.3,46.03,-1.42,88,7.0,55,3.0,33,4.0,0,0.0,62.5,-1.7,2025-02-26,M,7.0
30,-3,CaesarSalah,US,1749.43,-6.19,1852.25,-4.79,34.27,0.47,172,7.0,106,3.0,65,4.0,1,0.0,61.63,-0.79,2025-02-15,P,26.0
31,-3,mbbchess,US,1748.25,-2.21,1970.72,0.0,74.16,0.74,36,0.0,27,0.0,9,0.0,0,0.0,75.0,0.0,2024-09-10,P,113.0
32,-3,Angor,RU,1746.85,-3.28,1898.09,0.0,50.42,1.09,69,0.0,41,0.0,28,0.0,0,0.0,59.42,0.0,2024-08-11,GM,18.0
33,0,Praetorianer,DE,1745.63,10.3,1847.41,11.3,33.93,0.33,169,10.0,104,7.0,64,3.0,1,0.0,61.54,0.53,2025-02-11,GM,38.0
34,75,littlesquirrel,-,1745.02,162.64,1995.54,100.5,83.51,-20.71,24,9.0,24,9.0,0,0.0,0,0.0,100.0,0.0,2025-02-10,-,872.0
35,-5,St4nkk,PL,1743.81,-2.02,1986.37,0.0,80.85,0.67,30,0.0,23,0.0,7,0.0,0,0.0,76.67,0.0,2024-09-10,M,83.0
36,-4,Sohoof,NL,1737.73,-2.84,1911.75,0.0,58.01,0.95,54,0.0,39,0.0,15,0.0,0,0.0,72.22,0.0,2024-10-31,-,93.0
37,-3,Jaracz,PL,1731.48,-3.5,1873.86,0.0,47.46,1.17,87,0.0,65,0.0,20,0.0,2,0.0,74.71,0.0,2024-08-11,P,58.0
38,-3,Oprah,DK,1729.64,2.43,1885.2,4.19,51.85,0.59,66,3.0,46,3.0,20,0.0,0,0.0,69.7,1.45,2025-02-01,GM,20.0
39,-3,Draculade,-,1723.71,-2.65,1909.4,0.0,61.9,0.88,54,0.0,39,0.0,15,0.0,0,0.0,72.22,0.0,2024-07-01,P,151.0
40,-2,Gutemetralla,-,1721.78,6.26,1845.87,5.18,41.36,-0.36,107,7.0,64,2.0,42,4.0,1,1.0,59.81,-2.19,2025-02-16,-,32.0
41,-2,Lemmingsplayer,HK,1712.14,-2.15,1940.48,0.0,76.11,0.72,31,0.0,20,0.0,10,0.0,1,0.0,64.52,0.0,2024-10-31,GM,258.0
42,-2,Vantablack,MO,1709.11,-4.05,1831.57,0.0,40.82,1.35,121,0.0,74,0.0,47,0.0,0,0.0,61.16,0.0,2024-10-01,GM,29.0
43,-2,Dirkules,DE,1705.77,-2.29,1920.97,0.0,71.73,0.76,39,0.0,27,0.0,12,0.0,0,0.0,69.23,0.0,2024-07-15,GM,34.0
44,-2,DJLAODIE,CN,1701.28,-3.62,1837.77,0.0,45.5,1.21,89,0.0,59,0.0,27,0.0,3,0.0,66.29,0.0,2024-10-31,-,88.0
45,61,yaop,-,1695.81,106.88,1946.28,32.18,83.49,-24.9,28,14.0,26,12.0,2,2.0,0,0.0,92.86,-7.14,2025-02-12,G,457.0
46,22,mwi,PL,1689.2,43.03,1817.21,38.45,42.67,-1.53,94,10.0,52,9.0,42,1.0,0,0.0,55.32,4.13,2025-02-15,M,17.0
47,-4,Boromir7,PL,1688.47,-3.5,1829.69,0.0,47.08,1.17,90,0.0,54,0.0,33,0.0,3,0.0,60.0,0.0,2024-07-15,M,37.0
48,-3,barboucha,FR,1685.49,-2.25,1905.17,0.0,73.22,0.75,33,0.0,23,0.0,10,0.0,0,0.0,69.7,0.0,2024-07-30,GM,19.0
49,5,Sylvain,FR,1683.74,9.83,1816.0,7.32,44.09,-0.84,90,6.0,52,4.0,38,2.0,0,0.0,57.78,0.64,2025-02-16,M,53.0
50,-4,iyakhoop,TH,1683.16,-3.69,1817.06,0.0,44.64,1.23,100,0.0,63,0.0,35,0.0,2,0.0,63.0,0.0,2024-10-01,GM,154.0
-,-,Binki,RU,1682.85,-2.73,1864.75,0.0,60.63,0.91,63,0.0,42,0.0,21,0.0,0,0.0,66.67,0.0,2023-11-15,GM,139.0
51,-4,Tordread,US,1682.24,-0.25,1792.3,-0.01,36.69,0.08,139,7.0,82,4.0,56,3.0,1,0.0,58.99,-0.1,2025-02-14,GM,10.0
52,6,Fourierrr,BR,1681.83,18.8,1859.01,2.34,59.06,-5.49,48,7.0,28,3.0,20,4.0,0,0.0,58.33,-2.65,2025-02-11,M,21.0
53,-3,speedstone,CN,1681.52,2.22,1822.47,-6.45,46.98,-2.89,81,10.0,47,5.0,30,5.0,4,0.0,58.02,-1.13,2025-02-27,-,137.0
54,-3,RestlessMe,-,1679.03,0.97,1781.0,0.32,33.99,-0.22,160,12.0,89,6.0,70,6.0,1,0.0,55.62,-0.46,2025-02-09,P,52.0
55,-6,KarlThomas,NO,1677.65,-2.57,1870.35,0.0,64.23,0.86,44,0.0,29,0.0,14,0.0,1,0.0,65.91,0.0,2024-10-31,M,44.0
56,-4,delonecarter,GB,1674.59,-2.28,1889.8,0.0,71.74,0.76,41,0.0,32,0.0,7,0.0,2,0.0,78.05,0.0,2024-07-15,G,75.0
57,-4,DJParson,DE,1672.68,-2.15,1901.7,0.0,76.34,0.72,32,0.0,23,0.0,9,0.0,0,0.0,71.88,0.0,2024-07-30,GM,60.0
58,-3,Spartan1337,-,1671.89,2.19,1779.95,1.78,36.02,-0.14,146,10.0,83,7.0,61,3.0,2,0.0,56.85,0.97,2025-02-12,P,64.0
59,1,daimx,-,1670.75,9.97,1802.51,5.0,43.92,-1.66,88,9.0,56,6.0,32,3.0,0,0.0,63.64,0.35,2025-02-17,P,72.0
60,2,Netopier,SK,1670.57,11.99,1773.89,12.73,34.44,0.25,164,9.0,86,6.0,76,3.0,2,0.0,52.44,0.83,2025-02-15,M,54.0
61,-17,Lech,PL,1669.23,-20.55,1849.31,-45.24,60.03,-8.23,43,9.0,28,3.0,15,6.0,0,0.0,65.12,-8.41,2025-02-14,M,40.0
62,-6,Masox,DE,1664.14,-2.58,1770.15,-2.54,35.34,0.02,160,10.0,91,6.0,66,4.0,3,0.0,56.88,0.21,2025-02-14,P,67.0
63,4,Musan,US,1663.15,10.91,1779.74,10.68,38.86,-0.08,120,7.0,78,6.0,42,1.0,0,0.0,65.0,1.28,2025-02-18,P,62.0
64,-7,Ristey,GB,1660.54,-2.8,1761.99,-0.83,33.82,0.66,172,7.0,104,4.0,67,3.0,1,0.0,60.47,-0.14,2025-02-21,P,45.0
65,-6,PlanarFreak,US,1659.23,-2.54,1853.36,0.0,64.71,0.85,48,0.0,35,0.0,13,0.0,0,0.0,72.92,0.0,2024-07-15,G,104.0
66,-18,Eske,DK,1658.33,-22.02,1829.26,-36.39,56.98,-4.79,52,7.0,30,1.0,21,6.0,1,0.0,57.69,-6.75,2025-02-16,GM,11.0
67,-1,BlixLT,LT,1656.96,4.65,1757.01,6.0,33.35,0.45,183,9.0,104,6.0,77,3.0,2,0.0,56.83,0.51,2025-02-10,P,36.0
-,-,Maxxxx,-,1656.57,-1.75,1936.96,0.0,93.46,0.58,24,0.0,19,0.0,5,0.0,0,0.0,79.17,0.0,2023-07-18,P,-
68,-5,Xxyu,CN,1655.48,-2.07,1892.25,0.0,78.92,0.69,30,0.0,22,0.0,8,0.0,0,0.0,73.33,0.0,2024-10-31,-,477.0
69,-8,sqwndw,CN,1654.57,-4.23,1779.84,0.0,41.76,1.41,115,0.0,66,0.0,47,0.0,2,0.0,57.39,0.0,2024-10-01,GM,42.0
70,7,DrSniken,NO,1653.14,24.61,1857.19,-2.28,68.02,-8.96,34,9.0,25,6.0,9,3.0,0,0.0,73.53,-2.47,2025-02-21,-,269.0
71,-6,Rob_Stedman,AU,1651.45,-4.72,1767.37,-1.23,38.64,1.16,122,3.0,69,2.0,52,1.0,1,0.0,56.56,0.26,2025-02-01,M,99.0
72,unretired,whsvin,HK,1647.54,-28.57,1914.8,-42.12,89.09,-4.52,22,3.0,14,1.0,7,1.0,1,1.0,63.64,-4.78,2025-02-02,GM,15.0
-,-,xRen1101,LT,1646.07,-1.6,1952.11,0.0,102.01,0.53,19,0.0,15,0.0,4,0.0,0,0.0,78.95,0.0,2023-03-01,P,-
73,-9,roverandom,HR,1645.96,-10.94,1758.42,-11.53,37.49,-0.2,132,9.0,72,4.0,58,5.0,2,0.0,54.55,-0.73,2025-02-13,P,61.0
74,58,Gyphon,DE,1645.78,90.47,1855.76,52.49,69.99,-12.66,32,10.0,26,9.0,6,1.0,0,0.0,81.25,3.98,2025-02-16,-,327.0
-,-,Lambda,ES,1643.52,-1.37,2001.9,0.0,119.46,0.46,12,0.0,11,0.0,1,0.0,0,0.0,91.67,0.0,2023-06-06,GM,35.0
75,-6,SnailZane,CN,1641.68,-2.53,1836.01,0.0,64.77,0.84,47,0.0,30,0.0,17,0.0,0,0.0,63.83,0.0,2024-08-11,M,46.0
76,19,Gilgamesh2,NL,1641.32,38.18,1825.82,17.75,61.5,-6.81,38,7.0,24,4.0,14,3.0,0,0.0,63.16,-1.36,2025-02-10,G,58.0
77,226,BelieveDream,-,1639.37,224.38,1917.75,132.38,92.79,-30.67,21,8.0,20,8.0,1,0.0,0,0.0,95.24,2.93,2025-02-10,-,1020.0
78,-8,Garri,ES,1636.03,-2.59,1744.78,-1.41,36.25,0.4,147,9.0,85,7.0,61,2.0,1,0.0,57.82,1.3,2025-02-06,G,129.0
-,-,gorozei-12ans,CH,1635.92,-1.43,1978.42,0.0,114.17,0.48,16,0.0,14,0.0,2,0.0,0,0.0,87.5,0.0,2023-06-06,G,-
-,-,SuperDon,-,1634.98,-1.48,1966.63,0.0,110.55,0.49,16,0.0,13,0.0,3,0.0,0,0.0,81.25,0.0,2022-03-01,-,-
79,-6,Raistlin3m,IT,1630.37,-3.13,1787.96,0.0,52.53,1.04,57,0.0,30,0.0,25,0.0,2,0.0,52.63,0.0,2024-10-01,M,542.0
80,-8,syras,-,1629.64,-4.71,1843.96,-31.27,71.44,-8.85,34,7.0,26,4.0,8,3.0,0,0.0,76.47,-5.01,2025-02-15,-,328.0
81,18,zadokk,BE,1629.54,34.07,1769.13,29.41,46.53,-1.55,83,7.0,46,7.0,35,0.0,2,0.0,55.42,4.1,2025-02-15,P,43.0
82,-8,DrRerNate,DE,1629.01,-1.82,1898.29,0.0,89.76,0.61,24,0.0,16,0.0,7,0.0,1,0.0,66.67,0.0,2024-07-15,GM,120.0
83,-1,LittleBob,TW,1627.97,7.64,1767.03,-0.56,46.36,-2.74,80,10.0,47,6.0,32,4.0,1,0.0,58.75,0.18,2025-02-09,P,108.0
84,1,Kay,HK,1627.84,10.98,1760.32,5.41,44.16,-1.86,95,10.0,69,7.0,26,3.0,0,0.0,72.63,-0.31,2025-02-17,P,123.0
-,-,JeJenan,ZA,1627.64,-2.14,1857.58,0.0,76.64,0.71,32,0.0,21,0.0,11,0.0,0,0.0,65.62,0.0,2024-01-05,G,763.0
85,11,GerisNezus,LT,1627.57,28.14,1744.88,25.56,39.1,-0.86,132,10.0,79,9.0,51,1.0,2,0.0,59.85,2.47,2025-02-11,P,109.0
86,53,Allfather,-,1626.07,77.14,1834.0,29.13,69.31,-16.0,39,15.0,30,12.0,9,3.0,0,0.0,76.92,1.92,2025-02-11,-,280.0
87,-9,Magesolo,DE,1625.55,0.28,1727.17,1.29,33.87,0.34,177,10.0,103,7.0,72,3.0,2,0.0,58.19,0.7,2025-02-10,P,110.0
88,4,vaLfizzL,DE,1625.49,21.66,1741.7,21.29,38.74,-0.12,133,7.0,69,7.0,63,0.0,1,0.0,51.88,2.67,2025-02-15,M,57.0
-,-,LaoHuang,CN,1625.44,-2.92,1801.44,0.0,58.67,0.97,68,0.0,34,0.0,32,0.0,2,0.0,50.0,0.0,2023-11-15,M,1362.0
-,-,Veikka,FI,1624.91,-2.49,1822.19,0.0,65.76,0.83,45,0.0,26,0.0,18,0.0,1,0.0,57.78,0.0,2023-11-15,P,-
-,-,Isaia,KR,1624.86,-1.74,1907.23,0.0,94.12,0.58,25,0.0,19,0.0,6,0.0,0,0.0,76.0,0.0,2023-06-06,M,445.0
89,-13,Reenter73,-,1624.67,-5.08,1830.77,-6.49,68.7,-0.47,42,3.0,26,2.0,15,1.0,1,0.0,61.9,0.36,2025-02-18,M,144.0
90,40,WDD,-,1620.68,64.0,1828.13,28.31,69.15,-11.9,34,9.0,25,7.0,9,2.0,0,0.0,73.53,1.53,2025-02-13,-,324.0
91,-11,Pascalotopia,CA,1619.83,-1.77,1897.36,0.0,92.51,0.59,17,0.0,12,0.0,5,0.0,0,0.0,70.59,0.0,2024-09-10,GM,22.0
92,-8,Dantes,US,1618.97,-0.53,1814.25,-23.81,65.09,-7.76,39,7.0,23,3.0,15,3.0,1,1.0,58.97,-3.53,2025-02-14,P,131.0
93,-12,a440,CA,1618.24,-2.42,1820.85,0.0,67.54,0.81,42,0.0,26,0.0,15,0.0,1,0.0,61.9,0.0,2024-07-30,-,180.0
94,-4,isman,ES,1617.79,10.19,1806.59,-15.02,62.93,-8.4,44,10.0,29,6.0,14,4.0,1,0.0,65.91,-1.74,2025-02-13,G,313.0
95,-16,Kimmo,FI,1615.97,-6.06,1742.71,-10.9,42.25,-1.62,95,10.0,51,5.0,44,5.0,0,0.0,53.68,-0.44,2025-02-11,GM,91.0
96,-13,HCsquared,CA,1614.28,-5.92,1759.64,-4.95,48.45,0.33,73,3.0,44,2.0,29,1.0,0,0.0,60.27,0.27,2025-02-01,P,101.0
97,unretired,sdzy,-,1612.08,70.77,1890.46,44.63,92.79,-8.71,25,6.0,19,6.0,5,0.0,1,0.0,76.0,7.58,2025-01-30,-,1031.0
98,-9,Sunmaster14_LV,LV,1612.03,1.84,1711.99,2.72,33.32,0.29,176,10.0,94,6.0,79,4.0,3,0.0,53.41,0.4,2025-02-23,P,76.0
99,-13,Lothar,US,1611.98,-2.45,1812.93,0.0,66.98,0.82,42,0.0,29,0.0,13,0.0,0,0.0,69.05,0.0,2024-07-15,G,241.0
100,-13,Tamirys,US,1610.68,-1.63,1912.63,0.0,100.65,0.54,21,0.0,17,0.0,4,0.0,0,0.0,80.95,0.0,2024-07-15,GM,48.0
-,-,silent_x111,US,1610.27,-1.67,1904.24,0.0,97.99,0.56,20,0.0,13,0.0,7,0.0,0,0.0,65.0,0.0,2022-04-01,GM,-
101,-26,BitterBlossom,CN,1610.18,-19.68,1793.23,-38.51,61.02,-6.28,50,9.0,33,4.0,17,5.0,0,0.0,66.0,-4.73,2025-02-16,-,192.0
102,26,IdkIdcIdgaf,-,1607.19,49.75,2049.86,24.11,147.56,-8.55,12,3.0,12,3.0,0,0.0,0,0.0,100.0,0.0,2025-02-01,G,566.0
-,-,Shorty55,-,1605.65,-1.57,1919.12,0.0,104.49,0.52,19,0.0,14,0.0,4,0.0,1,0.0,73.68,0.0,2022-04-01,M,-
103,-12,Firedart,GB,1604.7,-2.6,1704.88,-0.95,33.39,0.55,186,9.0,103,4.0,81,5.0,2,0.0,55.38,-0.55,2025-02-06,P,77.0
-,-,Galinlik,-,1601.42,-1.69,1890.85,0.0,96.48,0.56,24,0.0,19,0.0,5,0.0,0,0.0,79.17,0.0,2023-06-06,-,-
104,unretired,Crey,-,1600.96,31.76,1916.53,20.47,105.19,-3.76,18,2.0,13,2.0,4,0.0,1,0.0,72.22,3.47,2025-01-28,G,-
105,5,MindKillazz,CA,1600.41,18.28,1724.13,14.95,41.24,-1.11,106,10.0,59,7.0,44,3.0,3,0.0,55.66,1.49,2025-02-25,P,95.0
106,54,scipio238,GB,1598.6,72.09,1812.44,30.51,71.28,-13.86,30,10.0,21,8.0,9,2.0,0,0.0,70.0,5.0,2025-02-11,P,86.0
-,-,josqvin,-,1598.14,-1.49,1926.78,0.0,109.55,0.5,16,0.0,11,0.0,4,0.0,1,0.0,68.75,0.0,2022-03-01,-,-
107,6,Huettengaudi,DE,1597.56,19.43,1768.56,16.65,57.0,-0.93,51,3.0,32,3.0,19,0.0,0,0.0,62.75,2.33,2025-01-28,P,72.0
108,-11,Alistxi,-,1596.47,-2.21,1819.23,0.0,74.25,0.74,33,0.0,25,0.0,8,0.0,0,0.0,75.76,0.0,2024-07-01,-,660.0
109,-15,CrownKiller,KR,1594.6,-8.62,1732.59,-5.99,45.99,0.88,100,1.0,57,0.0,43,1.0,0,0.0,57.0,-0.58,2025-01-29,G,343.0
110,-22,Raulone,ES,1593.78,-17.09,1798.94,-56.24,68.39,-13.05,32,9.0,20,3.0,12,6.0,0,0.0,62.5,-11.41,2025-02-16,G,183.0
111,-8,Doobie,CN,1593.77,3.46,1707.1,1.59,37.78,-0.62,136,10.0,69,6.0,63,4.0,4,0.0,50.74,0.74,2025-02-15,G,142.0
112,unretired,Nickeberg,-,1592.36,57.22,1798.6,15.3,68.75,-13.97,41,10.0,25,7.0,16,3.0,0,0.0,60.98,2.92,2025-02-11,P,1019.0
113,-13,flutter,US,1591.11,-4.08,1714.01,-8.52,40.97,-1.48,105,10.0,58,5.0,45,5.0,2,0.0,55.24,-0.55,2025-02-10,P,117.0
-,-,ArtPlay,FR,1590.75,-2.44,1792.22,0.0,67.16,0.81,43,0.0,25,0.0,17,0.0,1,0.0,58.14,0.0,2023-11-15,P,-
114,-10,Jorrig,CH,1590.22,0.05,1737.22,0.92,49.0,0.29,81,3.0,48,2.0,33,1.0,0,0.0,59.26,0.29,2025-01-30,M,205.0
115,-10,occupied,-,1587.46,-1.82,1856.92,0.0,89.82,0.61,21,0.0,15,0.0,6,0.0,0,0.0,71.43,0.0,2024-07-15,M,56.0
-,-,busti,BE,1585.63,-2.08,1822.68,0.0,79.02,0.69,34,0.0,23,0.0,11,0.0,0,0.0,67.65,0.0,2023-10-05,-,1223.0
116,-8,bobaboba,-,1584.01,-1.7,1871.4,0.0,95.8,0.57,18,0.0,14,0.0,4,0.0,0,0.0,77.78,0.0,2024-07-30,-,180.0
-,-,Veivi,FI,1583.13,-1.64,1882.26,0.0,99.71,0.55,20,0.0,14,0.0,6,0.0,0,0.0,70.0,0.0,2022-04-08,GM,-
117,27,Gandin,-,1583.01,42.3,1769.1,21.99,62.03,-6.77,44,7.0,26,5.0,18,2.0,0,0.0,59.09,2.33,2025-02-10,M,30.0
118,-11,funnytortoise,ID,1582.33,-5.67,1709.08,-3.06,42.25,0.87,107,3.0,59,2.0,45,1.0,3,0.0,55.14,0.33,2025-02-01,G,94.0
119,-7,Jonny125,RU,1579.95,-0.83,1682.02,0.79,34.03,0.54,166,7.0,88,4.0,76,3.0,2,0.0,53.01,0.18,2025-02-18,P,105.0
120,92,Sektat,CH,1579.86,93.86,1758.66,71.07,59.6,-7.6,47,10.0,27,9.0,20,1.0,0,0.0,57.45,8.8,2025-02-17,M,25.0
121,-10,vodka,CZ,1579.06,-2.39,1784.8,0.0,68.58,0.8,35,0.0,29,0.0,6,0.0,0,0.0,82.86,0.0,2024-10-01,G,198.0
122,-29,gothark,PL,1578.74,-24.57,1788.31,-55.2,69.86,-10.21,35,9.0,22,4.0,12,5.0,1,0.0,62.86,-6.37,2025-02-21,G,118.0
123,-25,Naleenae,-,1577.03,-21.07,1896.36,-39.79,106.44,-6.24,15,3.0,11,2.0,4,1.0,0,0.0,73.33,-1.67,2025-01-27,-,391.0
124,3,jantteri,-,1575.4,15.22,1712.46,7.71,45.69,-2.5,81,10.0,48,6.0,33,4.0,0,0.0,59.26,0.11,2025-02-11,G,96.0
125,-10,eNroamer,LV,1575.09,0.71,1702.53,-5.1,42.48,-1.94,120,10.0,73,5.0,42,5.0,5,0.0,60.83,-0.99,2025-02-14,G,176.0
126,-12,Sjir,NL,1574.18,-2.17,1799.89,0.0,75.23,0.72,36,0.0,23,0.0,12,0.0,1,0.0,63.89,0.0,2024-07-15,M,99.0
127,15,BoatyMcBoatface,US,1573.15,27.4,1720.93,16.54,49.26,-3.62,72,10.0,42,6.0,28,3.0,2,1.0,58.33,0.27,2025-02-11,P,133.0
128,-27,Mark0n,HR,1573.1,-21.9,1679.64,-21.07,35.51,0.28,165,9.0,99,3.0,65,6.0,1,0.0,60.0,-1.54,2025-02-11,G,85.0
-,-,Bool,-,1572.15,-1.88,1832.59,0.0,86.81,0.63,27,0.0,19,0.0,8,0.0,0,0.0,70.37,0.0,2023-07-18,-,-
129,-13,PacificKonradin,-,1572.01,-2.34,1781.86,0.0,69.95,0.78,35,0.0,24,0.0,11,0.0,0,0.0,68.57,0.0,2024-10-31,-,216.0
130,-9,Thisisnotasmile,GB,1570.77,8.18,1677.42,6.8,35.55,-0.46,145,13.0,80,9.0,63,4.0,2,0.0,55.17,1.38,2025-02-19,P,102.0
131,516,holy834,CN,1568.01,372.24,1845.21,155.03,92.4,-72.4,19,14.0,17,12.0,2,2.0,0,0.0,89.47,-10.53,2025-02-18,-,1000.0
132,-14,dannyboy14,US,1567.4,-1.64,1865.8,0.0,99.46,0.55,21,0.0,15,0.0,6,0.0,0,0.0,71.43,0.0,2024-07-15,GM,16.0
133,-14,LuckyAnesa,-,1567.15,-0.22,1713.2,-6.34,48.68,-2.04,79,7.0,43,4.0,35,3.0,1,0.0,54.43,0.26,2025-02-11,-,255.0
134,-32,fugg,US,1565.7,-24.65,1685.45,-29.05,39.92,-1.47,119,11.0,73,3.0,46,8.0,0,0.0,61.34,-3.47,2025-02-16,G,136.0
135,53,jhamra,DE,1565.04,58.13,1806.19,15.59,80.38,-14.18,30,9.0,23,7.0,7,2.0,0,0.0,76.67,0.48,2025-02-12,-,404.0
136,224,Cogito3,US,1563.92,189.15,1812.68,98.45,82.92,-30.23,29,13.0,25,12.0,4,1.0,0,0.0,86.21,4.96,2025-02-15,G,481.0
-,-,Rabbles,AU,1561.55,-1.46,1897.2,0.0,111.89,0.49,16,0.0,12,0.0,4,0.0,0,0.0,75.0,0.0,2022-03-01,M,-
137,-15,kenchan,HK,1560.32,-1.69,1665.93,-1.46,35.2,0.07,163,10.0,91,6.0,71,4.0,1,0.0,55.83,0.27,2025-02-13,G,132.0
138,-14,Wanderlust,-,1560.26,-0.9,1774.56,-48.82,71.43,-15.97,37,13.0,23,8.0,14,5.0,0,0.0,62.16,-0.34,2025-02-13,-,1241.0
139,25,Boyo,-,1558.94,34.99,1700.19,24.9,47.08,-3.36,77,10.0,50,6.0,25,3.0,2,1.0,64.94,-0.73,2025-02-23,G,148.0
