Rank,Rank Δ,Player,Code,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played,Title,Leaderboard Rank
1033,unretired,C3POsMidriff,-,1053.45,355.96,1399.08,66.61,115.21,-96.45,15,11.0,7,6.0,8,5.0,0,0.0,46.67,21.67,2025-02-11,G,1404.0
1034,-167,mikey1nt,-,1053.1,40.03,1340.12,-22.23,95.67,-20.75,18,6.0,6,2.0,12,4.0,0,0.0,33.33,0.0,2025-01-28,-,700.0
1035,-200,AXL79,-,1053.08,-1.03,1528.35,0.0,158.42,0.34,6,0.0,3,0.0,3,0.0,0,0.0,50.0,0.0,2024-04-04,G,645.0
1036,-232,Mejdzr,CZ,1051.77,-35.04,1272.31,-94.49,73.51,-19.82,32,13.0,10,3.0,22,10.0,0,0.0,31.25,-5.59,2025-02-18,G,597.0
-,-,Zazabuzao,-,1051.55,-0.82,1647.17,0.0,198.54,0.27,3,0.0,2,0.0,1,0.0,0,0.0,66.67,0.0,2024-02-23,-,996.0
1037,-167,RoboKay314,US,1051.37,42.08,1251.31,3.14,66.65,-12.98,39,13.0,12,4.0,27,9.0,0,0.0,30.77,0.0,2025-02-21,-,397.0
1038,unretired,Bora_Horsa_Gobuchul,-,1051.06,149.86,1385.44,32.15,111.46,-39.24,12,6.0,5,3.0,7,3.0,0,0.0,41.67,8.34,2025-01-28,-,1060.0
-,-,Isaca10,-,1050.71,-1.03,1527.68,0.0,158.99,0.34,6,0.0,3,0.0,3,0.0,0,0.0,50.0,0.0,2023-03-01,-,-
1039,-183,pj79,-,1050.22,18.04,1181.54,14.74,43.77,-1.1,103,10.0,35,4.0,67,6.0,1,0.0,33.98,0.65,2025-02-22,-,1024.0
1040,unretired,TheCenturion,-,1049.51,421.92,1499.34,180.23,149.94,-80.56,9,6.0,3,3.0,6,3.0,0,0.0,33.33,33.33,2025-02-09,-,1060.0
1041,new,LudoH,-,1049.1,599.1,1553.1,53.1,168.0,168.0,5,5.0,3,3.0,2,2.0,0,0.0,60.0,60.0,2025-01-28,-,-
-,-,Diabloz,-,1048.81,-0.96,1557.39,0.0,169.52,0.32,6,0.0,3,0.0,3,0.0,0,0.0,50.0,0.0,2023-03-01,-,-
-,-,Snuske,DK,1048.21,-1.1,1494.77,0.0,148.86,0.37,8,0.0,4,0.0,4,0.0,0,0.0,50.0,0.0,2023-04-02,P,-
1042,-202,Kojtic,-,1047.83,-1.18,1464.06,0.0,138.74,0.39,12,0.0,5,0.0,7,0.0,0,0.0,41.67,0.0,2024-04-04,-,869.0
1043,new,DonutRapist,-,1047.77,597.77,1515.19,15.19,155.81,155.81,6,6.0,4,4.0,2,2.0,0,0.0,66.67,66.67,2025-02-04,-,-
1044,-203,Blackbolt53,-,1047.45,-1.13,1479.33,0.0,143.96,0.38,9,0.0,4,0.0,5,0.0,0,0.0,44.44,0.0,2024-04-04,-,777.0
1045,new,donperizoma,-,1047.12,597.12,1553.5,53.5,168.8,168.8,6,6.0,4,4.0,2,2.0,0,0.0,66.67,66.67,2025-02-03,-,-
1046,-175,McNeil,DK,1046.08,37.01,1391.34,-70.32,115.09,-35.77,13,6.0,4,2.0,9,4.0,0,0.0,30.77,2.2,2025-01-31,-,765.0
-,-,dww,-,1045.97,-1.03,1522.82,0.0,158.95,0.34,8,0.0,4,0.0,4,0.0,0,0.0,50.0,0.0,2022-01-01,-,-
1047,-222,Vegeta4791,-,1045.02,-22.15,1243.28,-54.92,66.09,-10.92,44,12.0,12,2.0,32,10.0,0,0.0,27.27,-3.98,2025-02-12,-,528.0
