Rank,Rank Δ,Player,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played
150,-5,PlanarFreak,1617.75,7.45,1701.4,2.64,27.88,-1.61,314,18.0,189,11.0,122,7.0,3,0.0,60.19,0.05,2025-02-11
151,-13,Garri,1617.57,0.91,1696.7,-1.46,26.38,-0.79,424,12.0,258,7.0,165,5.0,1,0.0,60.85,-0.07,2025-01-24
152,-18,Fizi,1617.34,0.0,1809.02,0.0,63.89,0.0,58,0.0,39,0.0,19,0.0,0,0.0,67.24,0.0,2024-07-07
-,-,gorozei-12ans,1616.56,0.0,1790.02,0.0,57.82,0.0,66,0.0,47,0.0,19,0.0,0,0.0,71.21,0.0,2023-06-06
153,-28,Covfefe,1616.28,-7.16,1724.56,-8.29,36.09,-0.38,278,2.0,157,0.0,119,2.0,2,0.0,56.47,-0.41,2024-12-04
-,-,Bram,1615.57,0.0,1750.25,0.0,44.89,0.0,150,0.0,85,0.0,64,0.0,1,0.0,56.67,0.0,2023-06-06
154,-7,discodancer,1615.55,5.9,1747.63,-0.78,44.03,-2.23,96,6.0,62,3.0,34,3.0,0,0.0,64.58,-0.98,2025-01-12
155,-4,brunoerwin,1615.33,9.4,1703.26,5.95,29.31,-1.15,318,12.0,182,7.0,134,5.0,2,0.0,57.23,0.04,2025-01-28
156,11,Romendil,1614.98,21.98,1737.58,13.74,40.87,-2.75,126,12.0,82,9.0,44,3.0,0,0.0,65.08,1.04,2025-01-27
157,-15,FoLKeN91,1613.89,0.0,1723.65,0.0,36.59,0.0,180,0.0,110,0.0,68,0.0,2,0.0,61.11,0.0,2024-07-15
158,1,borz.zrob,1613.08,13.13,1700.55,9.88,29.15,-1.08,336,12.0,197,9.0,137,3.0,2,0.0,58.63,0.61,2025-01-19
-,-,Maxxxx,1612.46,0.0,1783.84,0.0,57.12,0.0,66,0.0,41,0.0,23,0.0,2,0.0,62.12,0.0,2023-07-18
159,16,Kay,1611.78,22.8,1715.63,14.14,34.61,-2.88,142,18.0,92,13.0,50,5.0,0,0.0,64.79,1.08,2025-02-07
-,-,kuchjir,1611.76,0.0,1772.08,0.0,53.44,0.0,174,0.0,108,0.0,65,0.0,1,0.0,62.07,0.0,2021-05-07
160,121,yaop,1611.72,84.29,1745.53,64.47,44.6,-6.61,94,20.0,70,18.0,24,2.0,0,0.0,74.47,4.2,2025-02-15
161,unretired,mushan,1610.13,28.42,1770.44,18.21,53.44,-3.4,88,6.0,48,5.0,40,1.0,0,0.0,54.55,2.11,2025-02-07
162,40,Obinger_Alphons,1609.73,41.18,1828.73,13.94,73.0,-9.08,42,12.0,35,11.0,7,1.0,0,0.0,83.33,3.33,2025-01-25
163,-13,danilius,1608.42,0.74,1707.01,-2.11,32.86,-0.95,320,10.0,199,7.0,118,3.0,3,0.0,62.19,0.25,2025-01-20
164,13,LT.Stuntovic,1607.23,20.09,1707.67,15.68,33.48,-1.47,272,12.0,167,11.0,105,1.0,0,0.0,61.4,1.4,2025-02-01
165,-1,ElKhan,1607.09,11.73,1681.27,7.47,24.73,-1.42,504,24.0,284,16.0,217,8.0,3,0.0,56.35,0.52,2025-02-05
-,-,V0jta,1606.61,0.0,1715.0,0.0,36.13,0.0,310,0.0,180,0.0,130,0.0,0,0.0,58.06,0.0,2023-11-15
166,-14,mlaticka_martanek,1605.76,0.0,1752.21,0.0,48.82,0.0,72,0.0,46,0.0,24,0.0,2,0.0,63.89,0.0,2024-04-28
167,-11,kenchan,1604.74,2.49,1678.05,-1.81,24.44,-1.43,432,24.0,250,11.0,177,12.0,5,1.0,57.87,-0.71,2025-02-07
168,-13,Doobie,1603.81,0.93,1688.15,-1.85,28.11,-0.93,342,12.0,187,7.0,153,5.0,2,0.0,54.68,0.13,2025-01-22
169,-15,PacificKonradin,1603.55,0.0,1733.5,0.0,43.32,0.0,114,0.0,86,0.0,27,0.0,1,0.0,75.44,0.0,2024-10-29
170,-22,BradSwan,1603.27,-5.7,1704.61,-6.64,33.78,-0.31,260,2.0,147,0.0,110,2.0,3,0.0,56.54,-0.44,2025-01-31
171,-6,Raffaello,1602.84,9.36,1737.14,-7.07,44.76,-5.48,92,20.0,69,14.0,23,6.0,0,0.0,75.0,-1.39,2025-02-11
172,-9,DB.Starman,1602.61,6.5,1686.05,3.65,27.81,-0.95,372,12.0,213,8.0,159,4.0,0,0.0,57.26,0.32,2025-01-28
173,32,Momomillion,1602.48,36.92,1763.04,-1.56,53.52,-12.83,60,18.0,48,12.0,12,6.0,0,0.0,80.0,-5.71,2025-02-07
-,-,Goldan,1602.48,0.0,1744.2,0.0,47.24,0.0,144,0.0,90,0.0,53,0.0,1,0.0,62.5,0.0,2022-09-04
174,-5,Mattian12000,1600.67,8.69,1688.64,3.0,29.32,-1.9,264,18.0,156,11.0,105,7.0,3,0.0,59.09,0.15,2025-02-11
-,-,roodBF,1599.72,0.0,1803.86,0.0,68.04,0.0,36,0.0,26,0.0,10,0.0,0,0.0,72.22,0.0,2023-07-18
175,-3,CarloPedersoli,1598.57,7.12,1711.77,4.6,37.74,-0.84,114,4.0,76,2.0,37,2.0,1,0.0,66.67,-0.6,2025-01-02
