Rank,Rank Δ,Player,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played,Title
43,-3,Lcfyx,1752.28,-1.93,1847.34,-1.77,31.69,0.05,204,12.0,115,6.0,86,6.0,3,0.0,56.37,-0.4,2025-01-23,M
44,-20,Dantes,1750.87,-31.69,1934.54,-37.82,61.22,-2.04,42,3.0,31,0.0,11,3.0,0,0.0,73.81,-5.68,2024-12-05,-
45,-7,Angor,1749.79,-4.97,1854.15,0.0,34.79,1.66,186,0.0,123,0.0,62,0.0,1,0.0,66.13,0.0,2024-09-04,GM
46,0,Palino,1743.46,-3.99,1867.42,0.0,41.32,1.33,180,0.0,112,0.0,68,0.0,0,0.0,62.22,0.0,2024-07-15,GM
-,-,Cyphen,1742.89,-3.37,1887.95,0.0,48.35,1.12,120,0.0,74,0.0,46,0.0,0,0.0,61.67,0.0,2022-09-04,GM
47,-2,Sjir,1742.45,-5.58,1840.37,0.0,32.64,1.86,306,0.0,182,0.0,122,0.0,2,0.0,59.48,0.0,2024-07-15,M
48,-15,pigfans,1741.61,-20.48,1986.69,-38.39,81.69,-5.97,24,3.0,22,1.0,2,2.0,0,0.0,91.67,-8.33,2024-12-12,-
49,-6,Arne,1740.91,-10.53,1850.71,-19.35,36.6,-2.94,126,21.0,86,9.0,40,12.0,0,0.0,68.25,-5.08,2025-01-22,M
50,-14,vaLfizzL,1740.68,-15.66,1832.77,-15.96,30.69,-0.1,264,15.0,156,6.0,106,9.0,2,0.0,59.09,-1.15,2025-01-21,M
51,-3,Gilgamesh2,1739.53,-3.5,1880.5,0.0,46.99,1.17,84,0.0,70,0.0,14,0.0,0,0.0,83.33,0.0,2024-09-04,-
52,12,darwinian,1738.16,13.84,1849.27,7.94,37.04,-1.97,129,18.0,96,13.0,32,4.0,1,1.0,74.42,-0.35,2025-01-17,P
53,-3,KarlThomas,1737.65,-5.22,1837.11,0.0,33.15,1.74,228,0.0,144,0.0,82,0.0,2,0.0,63.16,0.0,2024-09-04,M
54,129,DrSniken,1736.93,128.73,1949.3,90.92,70.79,-12.6,36,9.0,29,9.0,6,0.0,1,0.0,80.56,6.49,2025-01-11,-
55,-2,Tordread,1736.41,-2.86,1818.05,-0.61,27.21,0.75,321,15.0,182,6.0,134,9.0,5,0.0,56.7,-0.82,2025-01-13,GM
56,3,daimx,1736.28,8.69,1822.61,8.32,28.78,-0.12,252,21.0,154,15.0,98,6.0,0,0.0,61.11,0.94,2025-01-27,P
57,9,RutgerHauer,1733.73,14.59,1831.8,14.16,32.69,-0.14,180,12.0,126,9.0,52,3.0,2,0.0,70.0,0.36,2025-01-09,M
-,-,silent_x111,1733.7,-3.45,1878.67,0.0,48.32,1.15,144,0.0,82,0.0,62,0.0,0,0.0,56.94,0.0,2022-06-05,GM
58,-4,Tamirys,1733.44,-2.92,1826.44,-1.94,31.0,0.33,306,12.0,170,7.0,136,5.0,0,0.0,55.56,0.12,2025-01-24,GM
-,-,Veivi,1733.41,-3.13,1894.28,0.0,53.62,1.04,96,0.0,64,0.0,32,0.0,0,0.0,66.67,0.0,2022-03-06,GM
-,-,Maxxxx,1733.33,-2.68,1917.38,0.0,61.35,0.89,60,0.0,47,0.0,13,0.0,0,0.0,78.33,0.0,2023-07-18,P
-,-,frotes,1733.03,-3.53,1886.43,0.0,51.13,1.18,198,0.0,124,0.0,73,0.0,1,0.0,62.63,0.0,2021-12-05,GM
59,-18,AaronGreen,1731.12,-22.52,1838.46,-19.75,35.78,0.93,252,6.0,145,2.0,106,4.0,1,0.0,57.54,-0.59,2025-01-07,GM
60,5,Magnetiseur,1730.95,11.7,1821.09,12.82,30.05,0.38,258,15.0,162,13.0,94,2.0,2,0.0,62.79,1.47,2025-01-24,P
61,-4,Praetorianer,1730.23,0.82,1812.79,1.63,27.52,0.27,375,21.0,203,13.0,168,8.0,4,0.0,54.13,0.46,2025-01-27,GM
62,-7,MruczekW,1729.91,-3.09,1889.55,0.0,53.21,1.03,72,0.0,61,0.0,11,0.0,0,0.0,84.72,0.0,2024-10-01,-
63,-24,zadokk,1728.23,-26.12,1822.82,-27.2,31.53,-0.36,228,15.0,143,4.0,84,11.0,1,0.0,62.72,-2.54,2025-01-23,P
64,10,Sektat,1727.95,15.06,1821.8,12.2,31.28,-0.95,204,21.0,123,13.0,80,8.0,1,0.0,60.29,0.18,2025-01-22,M
-,-,mm34nn,1727.89,-3.17,1883.94,0.0,52.02,1.06,117,0.0,78,0.0,38,0.0,1,0.0,66.67,0.0,2022-03-06,M
65,-4,borz.zrob,1726.69,1.47,1818.89,-0.45,30.73,-0.64,255,21.0,161,13.0,93,8.0,1,0.0,63.14,-0.11,2025-01-21,P
66,-17,Sohoof,1725.85,-17.15,1863.42,-17.27,45.86,-0.04,87,3.0,60,0.0,27,3.0,0,0.0,68.97,-2.46,2024-12-13,-
67,-9,barboucha,1724.22,-4.73,1837.59,0.0,37.79,1.58,138,0.0,92,0.0,45,0.0,1,0.0,66.67,0.0,2024-09-04,GM
68,-8,SnailZane,1720.99,-5.75,1811.77,0.0,30.26,1.92,303,0.0,167,0.0,136,0.0,0,0.0,55.12,0.0,2024-09-04,M
-,-,Andrethegiant,1720.75,-3.47,1862.42,0.0,47.22,1.16,108,0.0,74,0.0,34,0.0,0,0.0,68.52,0.0,2023-07-18,GM
69,unretired,kyshantry,1719.88,12.62,1853.84,12.74,44.65,0.04,138,6.0,81,6.0,56,0.0,1,0.0,58.7,1.88,2025-01-06,M
70,-1,takusto_II,1719.58,2.53,1808.58,2.12,29.67,-0.13,375,18.0,209,11.0,163,7.0,3,0.0,55.73,0.27,2025-01-24,M
71,32,Boyo,1719.33,42.46,1852.08,20.18,44.25,-7.43,114,21.0,89,15.0,23,6.0,2,0.0,78.07,-1.5,2025-01-21,-
72,-1,Lech,1718.48,1.74,1809.88,1.49,30.47,-0.08,228,15.0,148,8.0,80,7.0,0,0.0,64.91,-0.82,2025-01-23,M
-,-,Cleanbulk,1718.06,-3.83,1853.89,0.0,45.28,1.28,126,0.0,84,0.0,41,0.0,1,0.0,66.67,0.0,2023-06-06,M
73,11,Skaiwalker,1716.63,14.58,1805.7,14.79,29.69,0.07,285,18.0,167,14.0,117,4.0,1,0.0,58.6,1.3,2025-01-24,M
-,-,Chuckles_the_second,1715.7,-4.11,1840.51,0.0,41.6,1.37,138,0.0,92,0.0,44,0.0,2,0.0,66.67,0.0,2023-12-03,M
74,-6,WanderingWolf,1712.56,-4.95,1807.14,-6.3,31.53,-0.45,264,18.0,163,10.0,101,8.0,0,0.0,61.74,-0.46,2025-01-23,M
75,-5,iyakhoop,1711.81,-5.22,1811.98,0.0,33.39,1.74,261,0.0,152,0.0,105,0.0,4,0.0,58.24,0.0,2024-10-01,GM
76,-3,brunoerwin,1711.16,-2.79,1804.42,-5.3,31.09,-0.84,240,21.0,161,10.0,76,10.0,3,1.0,67.08,-1.87,2025-01-16,P
77,-5,FoLKeN91,1710.93,-4.22,1829.5,0.0,39.52,1.41,132,0.0,88,0.0,43,0.0,1,0.0,66.67,0.0,2024-07-15,M
78,-16,WhateverParsley,1710.81,-13.68,1804.21,-14.7,31.13,-0.34,261,18.0,165,8.0,95,10.0,1,0.0,63.22,-1.39,2025-01-23,P
79,-3,Boromir7,1709.7,-2.39,1797.45,-1.18,29.25,0.41,297,15.0,170,6.0,123,9.0,4,0.0,57.24,-0.92,2025-01-22,M
80,-17,Doughnut,1709.27,-15.19,1851.54,-26.83,47.43,-3.88,78,12.0,54,6.0,22,5.0,2,1.0,69.23,-3.5,2025-01-19,-
81,112,Allfather,1709.07,107.5,1865.08,77.34,52.0,-10.05,72,18.0,55,17.0,17,1.0,0,0.0,76.39,6.02,2025-01-13,-
82,0,Rob_Stedman,1703.35,-0.94,1784.34,0.91,27.0,0.62,342,18.0,191,10.0,150,7.0,1,1.0,55.85,-0.01,2025-01-19,M
83,15,SpartacusImperator,1702.86,19.56,1797.83,20.04,31.66,0.16,219,12.0,129,10.0,90,2.0,0,0.0,58.9,1.41,2025-01-17,P
84,-5,DiddleySquat,1702.58,-5.56,1797.48,-5.54,31.63,0.01,234,12.0,145,5.0,89,7.0,0,0.0,61.97,-1.09,2025-01-27,GM
85,1,Fjantarik,1700.47,1.76,1812.52,-2.51,37.35,-1.42,126,12.0,85,6.0,41,6.0,0,0.0,67.46,-1.84,2025-01-18,P
86,-3,321letsjam,1699.8,-4.41,1812.95,0.0,37.72,1.47,141,0.0,98,0.0,43,0.0,0,0.0,69.5,0.0,2024-09-04,-
87,-2,FirstOfDao,1699.78,0.66,1796.59,-1.13,32.27,-0.6,192,15.0,128,8.0,63,7.0,1,0.0,66.67,-1.13,2025-01-21,P
-,-,Toper,1699.43,-1.6,2006.04,0.0,102.2,0.53,24,0.0,17,0.0,7,0.0,0,0.0,70.83,0.0,2018-10-07,-
88,-11,weisswurst,1698.35,-13.08,1803.32,-10.66,34.99,0.81,210,6.0,121,3.0,89,3.0,0,0.0,57.62,-0.22,2025-01-13,M
89,-2,Naval,1697.34,0.2,1962.4,-18.01,88.35,-6.07,30,6.0,27,5.0,3,1.0,0,0.0,90.0,-1.67,2025-01-09,-
90,3,Eske,1696.77,11.61,1815.88,13.41,39.7,0.6,147,3.0,92,3.0,54,0.0,1,0.0,62.59,0.78,2024-12-15,GM
-,-,Ronnan,1694.84,-2.03,1937.87,0.0,81.01,0.68,36,0.0,24,0.0,12,0.0,0,0.0,66.67,0.0,2023-04-16,P
91,13,IdkIdcIdgaf,1694.55,18.66,1862.05,15.66,55.83,-1.0,84,6.0,68,6.0,16,0.0,0,0.0,80.95,1.46,2025-01-10,-
92,-14,Huettengaudi,1693.28,-15.14,1778.36,-15.41,28.36,-0.09,258,21.0,154,9.0,102,12.0,2,0.0,59.69,-1.49,2025-01-23,P
-,-,TryAndStopUs,1692.71,-2.88,1868.32,0.0,58.53,0.96,108,0.0,71,0.0,36,0.0,1,0.0,65.74,0.0,2021-03-02,M
93,-13,wittr,1692.6,-12.8,1778.56,-13.34,28.65,-0.18,285,21.0,174,9.0,109,12.0,2,0.0,61.05,-1.45,2025-01-27,P
94,21,roverandom,1689.18,26.37,1771.54,27.65,27.45,0.43,309,21.0,177,20.0,132,1.0,0,0.0,57.28,2.77,2025-01-17,P
95,-5,maiquelPS,1688.58,0.59,1783.43,-1.02,31.62,-0.54,252,18.0,154,9.0,97,9.0,1,0.0,61.11,-0.86,2025-01-23,P
96,60,Kay,1688.03,60.11,1806.45,45.36,39.47,-4.92,102,21.0,68,16.0,34,5.0,0,0.0,66.67,2.47,2025-01-23,P
-,-,Olorin_,1687.86,-2.9,1857.69,0.0,56.61,0.97,72,0.0,49,0.0,23,0.0,0,0.0,68.06,0.0,2022-06-05,M
97,-9,DJParson,1687.62,-5.39,1783.59,0.0,31.99,1.8,300,0.0,151,0.0,147,0.0,2,0.0,50.33,0.0,2024-09-04,GM
98,-2,jRune,1687.36,3.62,1785.87,3.01,32.84,-0.2,216,12.0,138,5.0,76,6.0,2,1.0,63.89,-1.31,2025-01-12,P
99,-2,discodancer,1686.94,3.58,1791.73,1.21,34.93,-0.79,192,12.0,128,6.0,62,6.0,2,0.0,66.67,-1.11,2025-01-23,P
100,81,t0mk0t,1686.48,76.41,1852.33,51.29,55.28,-8.37,66,12.0,56,11.0,10,1.0,0,0.0,84.85,1.52,2025-01-07,-
101,72,yaop,1685.27,70.94,1883.97,17.03,66.24,-17.97,48,21.0,43,18.0,5,3.0,0,0.0,89.58,-3.01,2025-01-26,-
102,-13,Turdle,1684.38,-5.86,1791.06,-13.58,35.56,-2.58,132,21.0,91,11.0,41,10.0,0,0.0,68.94,-3.13,2025-01-18,P
