Rank,Rank Δ,Player,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played,Title
-,-,peracottari,1434.81,-3.64,1572.8,0.0,46.0,1.21,174,0.0,93,0.0,79,0.0,2,0.0,53.45,0.0,2023-01-15,-
-,-,samtheman,1434.21,-2.91,1608.17,0.0,57.99,0.97,84,0.0,41,0.0,42,0.0,1,0.0,48.81,0.0,2021-12-05,-
545,7,Proteus,1433.67,28.29,1529.86,27.43,32.07,-0.29,198,15.0,105,13.0,91,2.0,2,0.0,53.03,2.76,2025-01-28,-
-,-,trieshard,1433.63,-3.12,1595.8,0.0,54.06,1.04,84,0.0,52,0.0,30,0.0,2,0.0,61.9,0.0,2022-12-04,-
546,-55,Balquaz,1433.14,-4.25,1552.95,0.0,39.94,1.42,144,0.0,85,0.0,59,0.0,0,0.0,59.03,0.0,2024-06-02,-
547,-40,Borman,1432.15,3.23,1640.94,-58.87,69.6,-20.7,36,15.0,23,8.0,13,7.0,0,0.0,63.89,-7.54,2025-01-15,-
548,109,otis,1431.89,68.64,1775.8,-31.93,114.64,-33.52,12,6.0,10,4.0,2,2.0,0,0.0,83.33,-16.67,2025-01-07,-
-,-,homura,1431.83,-1.79,1705.76,0.0,91.31,0.6,18,0.0,11,0.0,7,0.0,0,0.0,61.11,0.0,2023-04-16,-
-,-,UnknownMight,1431.49,-1.64,1729.84,0.0,99.45,0.55,24,0.0,17,0.0,7,0.0,0,0.0,70.83,0.0,2020-09-27,-
549,-54,Abenteurer86,1431.41,-4.46,1545.3,0.0,37.96,1.49,201,0.0,110,0.0,90,0.0,1,0.0,54.73,0.0,2024-04-04,-
550,117,FenPlays,1431.4,71.62,1604.18,9.71,57.59,-20.64,48,21.0,32,13.0,16,8.0,0,0.0,66.67,-3.7,2025-01-21,-
-,-,Saerleon,1431.03,-2.72,1614.0,0.0,60.99,0.91,84,0.0,39,0.0,44,0.0,1,0.0,46.43,0.0,2021-03-02,M
-,-,Circadia,1430.98,-1.43,1774.86,0.0,114.63,0.48,24,0.0,21,0.0,3,0.0,0,0.0,87.5,0.0,2019-02-10,-
551,-29,Thomi,1430.34,9.33,1536.55,7.89,35.4,-0.48,204,12.0,93,5.0,107,7.0,4,0.0,45.59,-0.24,2025-01-27,-
-,-,Fblthp,1430.19,-1.97,1680.16,0.0,83.32,0.66,24,0.0,17,0.0,7,0.0,0,0.0,70.83,0.0,2023-03-01,-
552,-74,t-k-421,1429.94,-13.45,1539.87,-21.07,36.64,-2.54,138,21.0,76,8.0,62,13.0,0,0.0,55.07,-3.05,2025-01-28,-
553,-52,potpath,1429.2,-2.33,1640.6,0.0,70.47,0.78,36,0.0,24,0.0,12,0.0,0,0.0,66.67,0.0,2024-02-25,-
554,-66,broskiumenyiora,1429.16,-11.05,1590.3,-14.68,53.71,-1.21,60,6.0,36,4.0,24,2.0,0,0.0,60.0,0.74,2025-01-22,-
555,189,sillysheep,1429.0,104.59,1620.61,66.92,63.87,-12.56,42,6.0,25,5.0,17,1.0,0,0.0,59.52,3.96,2025-01-06,-
556,-56,Kojtic,1428.93,-2.75,1609.1,0.0,60.06,0.92,48,0.0,28,0.0,20,0.0,0,0.0,58.33,0.0,2024-09-01,-
557,-64,chris223,1427.81,-9.23,1511.18,-8.52,27.79,0.24,339,21.0,162,9.0,171,11.0,6,1.0,47.79,-0.32,2025-01-15,-
558,959,Aruta,1427.73,977.73,1775.06,275.06,115.78,-234.22,12,6.0,10,4.0,2,2.0,0,0.0,83.33,-16.67,2025-01-18,-
559,-28,SKJaCaRD,1427.5,11.79,1555.33,-5.51,42.61,-5.77,90,21.0,51,12.0,39,9.0,0,0.0,56.67,0.15,2025-01-26,-
560,-148,Etherealz,1426.55,-49.11,1511.66,-47.96,28.37,0.38,333,21.0,163,0.0,167,21.0,3,0.0,48.95,-3.29,2025-01-29,-
-,-,arixe,1425.9,-1.64,1724.89,0.0,99.66,0.55,24,0.0,18,0.0,6,0.0,0,0.0,75.0,0.0,2020-12-06,-
561,39,Pieroz88,1425.71,36.85,1716.98,-74.42,97.09,-37.09,18,9.0,13,5.0,4,3.0,1,1.0,72.22,-16.67,2025-01-02,-
562,-54,tkornai,1425.35,-2.94,1593.59,0.0,56.08,0.98,72,0.0,48,0.0,24,0.0,0,0.0,66.67,0.0,2024-09-04,-
563,-60,Largos,1424.78,-5.99,1512.88,-6.5,29.37,-0.17,294,21.0,141,8.0,150,13.0,3,0.0,47.96,-0.76,2025-01-26,-
564,39,tronnemann,1424.48,36.08,1519.25,33.66,31.59,-0.81,204,21.0,102,15.0,101,6.0,1,0.0,50.0,2.46,2025-01-20,-
565,-39,theussner79,1424.45,6.97,1509.93,6.82,28.49,-0.05,279,24.0,131,12.0,141,11.0,7,1.0,46.95,0.28,2025-01-27,-
566,-54,LhuCaS,1424.44,-0.78,1514.5,-1.2,30.02,-0.14,294,18.0,146,7.0,146,11.0,2,0.0,49.66,-0.7,2025-01-31,-
567,22,Pika07,1423.5,30.22,1656.04,-0.53,77.51,-10.25,27,6.0,18,3.0,9,3.0,0,0.0,66.67,-4.76,2025-01-11,-
-,-,miniexot,1423.49,-3.35,1573.07,0.0,49.86,1.12,126,0.0,66,0.0,60,0.0,0,0.0,52.38,0.0,2023-01-15,P
-,-,Intriguing,1423.46,-2.35,1635.49,0.0,70.68,0.78,60,0.0,37,0.0,23,0.0,0,0.0,61.67,0.0,2021-03-02,-
568,162,Boristina,1423.2,94.33,1828.96,43.26,135.25,-17.02,12,6.0,11,6.0,1,0.0,0,0.0,91.67,8.34,2025-01-12,-
-,-,jessjia,1423.08,-1.19,1835.5,0.0,137.47,0.4,12,0.0,11,0.0,1,0.0,0,0.0,91.67,0.0,2020-09-27,-
569,-59,gigilamoroso,1422.07,-4.26,1544.75,0.0,40.89,1.42,168,0.0,79,0.0,87,0.0,2,0.0,47.02,0.0,2024-07-01,-
570,-57,alibengoeroe,1421.92,-3.09,1582.67,0.0,53.58,1.03,96,0.0,53,0.0,42,0.0,1,0.0,55.21,0.0,2024-04-04,-
571,-57,DanWins,1421.46,-2.81,1535.14,-0.27,37.89,0.85,150,3.0,75,1.0,72,2.0,3,0.0,50.0,-0.34,2024-12-12,-
-,-,DjesusHChrist,1420.95,-1.32,1791.24,0.0,123.43,0.44,12,0.0,9,0.0,3,0.0,0,0.0,75.0,0.0,2020-12-06,-
-,-,XDoge,1420.72,-2.69,1604.4,0.0,61.23,0.9,84,0.0,40,0.0,43,0.0,1,0.0,47.62,0.0,2021-06-02,P
572,-3,joehammerman,1420.53,20.53,1517.5,18.25,32.32,-0.76,207,18.0,101,12.0,105,6.0,1,0.0,48.79,1.7,2025-02-01,-
573,-6,KEIL,1420.51,19.69,1506.62,20.34,28.7,0.22,291,21.0,144,17.0,147,4.0,0,0.0,49.48,2.44,2025-01-23,-
574,265,Malakesh,1420.24,143.55,1699.34,81.94,93.03,-20.54,18,6.0,14,5.0,4,1.0,0,0.0,77.78,2.78,2025-01-10,-
575,-86,Lodon,1420.2,-19.55,1511.49,-18.94,30.43,0.2,243,15.0,117,4.0,123,11.0,3,0.0,48.15,-1.41,2025-01-28,-
576,-56,ZioKhan,1420.09,-1.5,1504.15,-1.62,28.02,-0.04,279,21.0,141,12.0,135,9.0,3,0.0,50.54,0.54,2025-01-23,-
-,-,DALUM,1419.54,-1.84,1685.98,0.0,88.81,0.61,24,0.0,15,0.0,8,0.0,1,0.0,62.5,0.0,2021-03-02,-
577,-62,Giga,1418.97,-4.34,1535.18,0.0,38.74,1.45,150,0.0,76,0.0,72,0.0,2,0.0,50.67,0.0,2024-10-13,-
578,-67,jSan,1418.88,-7.1,1529.42,-14.83,36.84,-2.58,150,18.0,75,7.0,75,11.0,0,0.0,50.0,-1.52,2025-01-18,-
579,-56,HLDM,1418.85,-1.82,1688.6,0.0,89.92,0.61,18,0.0,10,0.0,8,0.0,0,0.0,55.56,0.0,2024-07-01,-
-,-,Grotaron,1418.7,-1.41,1765.16,0.0,115.48,0.47,12,0.0,10,0.0,2,0.0,0,0.0,83.33,0.0,2020-12-06,-
-,-,mafiasco,1418.67,-3.29,1570.52,0.0,50.61,1.1,108,0.0,53,0.0,54,0.0,1,0.0,49.07,0.0,2023-03-01,-
580,-108,nkbobo,1418.43,-28.63,1515.58,-30.41,32.38,-0.59,252,18.0,131,4.0,121,14.0,0,0.0,51.98,-2.29,2025-01-23,-
581,68,Taeveren,1418.41,50.35,1630.61,0.85,70.73,-16.5,30,9.0,18,5.0,11,4.0,1,0.0,60.0,-1.9,2025-01-09,-
-,-,hinghenry,1418.22,-1.71,1705.17,0.0,95.65,0.57,24,0.0,18,0.0,6,0.0,0,0.0,75.0,0.0,2020-09-27,-
582,-63,sorecats,1418.04,-4.1,1505.35,-4.1,29.1,0.0,309,21.0,143,8.0,163,13.0,3,0.0,46.28,-0.6,2025-01-23,-
583,-34,matst379,1417.94,11.22,1517.75,6.68,33.27,-1.51,159,21.0,82,13.0,76,8.0,1,0.0,51.57,1.57,2025-01-15,-
584,-68,ConquistadorColumbus,1417.64,-4.88,1521.54,0.0,34.63,1.63,240,0.0,118,0.0,118,0.0,4,0.0,49.17,0.0,2024-09-04,-
585,-110,Spriteule,1416.94,-27.83,1625.54,-60.7,69.53,-10.96,36,9.0,23,4.0,13,5.0,0,0.0,63.89,-6.48,2025-01-14,-
-,-,RabidRabbit,1415.83,-3.47,1562.68,0.0,48.95,1.16,111,0.0,62,0.0,48,0.0,1,0.0,55.86,0.0,2023-03-01,-
586,-28,DonRaphon,1415.75,12.5,1503.04,12.6,29.1,0.03,300,21.0,147,11.0,149,8.0,4,2.0,49.0,0.25,2025-01-23,-
-,-,default01,1415.56,-2.48,1614.15,0.0,66.19,0.83,60,0.0,40,0.0,19,0.0,1,0.0,66.67,0.0,2022-03-06,-
587,-27,J0hnny_Utah7,1415.33,12.48,1624.17,-17.79,69.61,-10.09,33,6.0,23,2.0,10,4.0,0,0.0,69.7,-8.08,2025-01-20,-
-,-,Varthos,1414.37,-2.79,1594.02,0.0,59.88,0.93,84,0.0,46,0.0,37,0.0,1,0.0,54.76,0.0,2021-12-05,-
588,22,MBlueMan,1414.21,29.5,1523.45,29.83,36.42,0.11,201,9.0,99,7.0,102,2.0,0,0.0,49.25,1.33,2025-01-09,-
589,-132,BillyPilgrim,1414.04,-39.37,1582.24,-50.42,56.06,-3.68,108,6.0,59,0.0,48,6.0,1,0.0,54.63,-3.21,2025-01-13,-
590,-46,boogy5,1413.84,6.0,1522.79,0.28,36.32,-1.9,225,21.0,114,11.0,106,8.0,5,2.0,50.67,0.18,2025-02-03,-
-,-,icantdrawanime,1413.54,-2.55,1606.61,0.0,64.36,0.85,60,0.0,38,0.0,22,0.0,0,0.0,63.33,0.0,2022-03-06,-
591,-26,chefung,1413.51,12.26,1507.16,9.4,31.22,-0.95,210,21.0,103,12.0,106,9.0,1,0.0,49.05,0.9,2025-01-27,-
-,-,BubbaOFC,1413.34,-3.6,1556.59,0.0,47.75,1.2,138,0.0,63,0.0,75,0.0,0,0.0,45.65,0.0,2023-01-15,-
-,-,lleviadon,1413.12,-2.9,1585.65,0.0,57.51,0.97,108,0.0,53,0.0,52,0.0,3,0.0,49.07,0.0,2021-06-02,-
592,-86,Ioannis3,1412.99,-16.54,1497.34,-15.82,28.12,0.24,339,21.0,153,5.0,183,16.0,3,0.0,45.13,-1.41,2025-01-24,-
593,20,Prautim,1412.98,29.88,1591.61,20.94,59.54,-2.98,54,6.0,21,3.0,32,3.0,1,0.0,38.89,1.39,2025-01-12,-
-,-,AxelG,1412.77,-3.03,1576.81,0.0,54.68,1.01,84,0.0,47,0.0,36,0.0,1,0.0,55.95,0.0,2022-12-04,-
-,-,holyknife,1412.63,-2.66,1596.85,0.0,61.41,0.89,60,0.0,35,0.0,25,0.0,0,0.0,58.33,0.0,2022-06-05,-
594,0,FrancoisFerdinand,1412.46,20.56,1545.24,11.04,44.26,-3.17,108,12.0,62,8.0,44,4.0,2,0.0,57.41,1.16,2025-01-19,-
595,-36,Tomtomparking,1411.66,8.8,1495.02,10.01,27.79,0.4,351,21.0,153,12.0,194,9.0,4,0.0,43.59,0.86,2025-01-16,-
596,-97,micropip,1411.64,-20.64,1494.86,-21.29,27.74,-0.22,333,27.0,163,9.0,169,18.0,1,0.0,48.95,-1.38,2025-01-26,-
597,-34,Noash,1411.6,9.52,1504.25,8.84,30.88,-0.23,297,18.0,154,9.0,143,9.0,0,0.0,51.85,-0.12,2025-01-22,-
-,-,IirionClaus,1411.44,-1.97,1659.63,0.0,82.73,0.66,36,0.0,22,0.0,14,0.0,0,0.0,61.11,0.0,2020-06-14,P
-,-,BlueRay,1411.27,-2.46,1616.19,0.0,68.31,0.82,48,0.0,22,0.0,26,0.0,0,0.0,45.83,0.0,2021-06-02,-
598,507,boonio88,1411.26,263.07,1736.88,138.87,108.54,-41.4,12,6.0,8,4.0,3,1.0,1,1.0,66.67,0.0,2025-01-07,-
599,-52,nattee,1410.32,2.83,1506.69,3.23,32.12,0.13,285,12.0,134,7.0,150,5.0,1,0.0,47.02,0.5,2025-01-29,-
-,-,BastionvonRaven,1410.13,-3.01,1580.06,0.0,56.64,1.0,90,0.0,49,0.0,40,0.0,1,0.0,54.44,0.0,2023-04-16,-
600,-7,gabev,1410.12,17.68,1635.17,4.02,75.01,-4.56,30,3.0,18,2.0,12,1.0,0,0.0,60.0,0.74,2024-12-23,-
601,917,IVE,1410.0,960.0,1755.39,255.39,115.13,-234.87,12,6.0,8,4.0,3,2.0,1,0.0,66.67,0.0,2025-01-16,-
602,-70,JakubUhlir,1409.95,-5.3,1512.42,0.0,34.16,1.77,228,0.0,117,0.0,107,0.0,4,0.0,51.32,0.0,2024-10-01,-
603,new,arthurlam90,1409.72,959.72,1740.69,240.69,110.32,110.32,12,12.0,10,10.0,2,2.0,0,0.0,83.33,83.33,2025-01-24,-
604,127,Mikeski,1409.4,80.56,1670.66,49.26,87.09,-10.44,24,6.0,17,6.0,7,0.0,0,0.0,70.83,9.72,2025-01-09,-
-,-,sbauer9,1409.05,-1.92,1664.24,0.0,85.06,0.64,36,0.0,24,0.0,12,0.0,0,0.0,66.67,0.0,2019-05-12,-
605,-7,Tuty,1409.03,18.24,1507.2,18.52,32.72,0.09,258,12.0,131,9.0,123,3.0,4,0.0,50.78,1.19,2025-01-24,-
606,-144,etJake,1409.0,-42.45,1584.4,-50.33,58.47,-2.63,48,6.0,29,2.0,19,4.0,0,0.0,60.42,-3.87,2025-01-15,-
607,12,JohnyT,1408.99,27.6,1623.37,-14.31,71.46,-13.97,30,9.0,19,5.0,11,4.0,0,0.0,63.33,-3.34,2025-01-08,-
608,83,andykr,1408.66,64.19,1581.86,11.61,57.73,-17.53,54,21.0,30,12.0,24,9.0,0,0.0,55.56,1.01,2025-01-30,-
-,-,Deepthought,1408.64,-2.69,1591.7,0.0,61.02,0.9,66,0.0,40,0.0,26,0.0,0,0.0,60.61,0.0,2023-01-15,-
609,-70,Deschain,1407.36,-3.81,1537.79,0.0,43.48,1.27,108,0.0,54,0.0,54,0.0,0,0.0,50.0,0.0,2024-03-03,P
610,-70,Ti-Guy_Latour,1406.65,-3.79,1509.8,-4.5,34.38,-0.24,216,12.0,112,5.0,102,7.0,2,0.0,51.85,-0.6,2025-01-15,-
611,33,Cresspahl,1406.16,36.67,1571.32,-5.98,55.05,-14.21,54,21.0,32,12.0,22,9.0,0,0.0,59.26,-1.35,2025-01-21,-
-,-,JeremyBrokaw,1406.1,-2.71,1592.29,0.0,62.06,0.9,72,0.0,30,0.0,42,0.0,0,0.0,41.67,0.0,2021-09-05,P
612,33,Archer1629,1405.52,36.25,1652.75,15.97,82.41,-6.76,24,3.0,17,2.0,7,1.0,0,0.0,70.83,-0.6,2024-12-12,-
613,-72,kaeptnblaubaer,1404.7,-3.81,1492.79,-4.61,29.36,-0.27,249,21.0,125,9.0,122,12.0,2,0.0,50.2,-0.68,2025-01-22,-
614,367,WowaduHek,1404.48,193.91,1833.65,85.42,143.06,-36.16,6,3.0,6,3.0,0,0.0,0,0.0,100.0,0.0,2024-12-12,-
615,-86,Pshemo,1404.46,-11.36,1514.45,-17.79,36.66,-2.14,129,18.0,65,5.0,64,13.0,0,0.0,50.39,-3.66,2025-01-20,-
-,-,_pupu_,1404.23,-2.4,1608.8,0.0,68.19,0.8,36,0.0,19,0.0,17,0.0,0,0.0,52.78,0.0,2023-03-01,-
-,-,Dr.Hummsfred,1404.06,-2.29,1618.55,0.0,71.5,0.76,48,0.0,25,0.0,23,0.0,0,0.0,52.08,0.0,2021-03-02,-
-,-,cal21,1403.73,-3.09,1562.92,0.0,53.06,1.03,108,0.0,60,0.0,47,0.0,1,0.0,55.56,0.0,2022-09-04,-
616,-99,Mrzout,1403.67,-18.73,1557.6,-24.76,51.31,-2.01,120,6.0,68,1.0,52,5.0,0,0.0,56.67,-2.1,2025-01-11,-
-,-,Basse,1403.66,-1.7,1692.57,0.0,96.3,0.57,24,0.0,16,0.0,8,0.0,0,0.0,66.67,0.0,2020-03-29,-
617,-8,Daniii,1403.53,18.31,1502.3,14.28,32.92,-1.35,234,21.0,108,13.0,121,8.0,5,0.0,46.15,1.55,2025-01-19,-
618,-73,theChony,1403.26,-4.49,1521.18,0.0,39.31,1.5,267,0.0,121,0.0,145,0.0,1,0.0,45.32,0.0,2024-04-04,-
619,-68,BeetleJuice,1402.72,-2.82,1578.37,0.0,58.55,0.94,51,0.0,29,0.0,22,0.0,0,0.0,56.86,0.0,2024-09-01,-
-,-,Enthusio,1401.45,-2.36,1614.64,0.0,71.07,0.79,48,0.0,28,0.0,19,0.0,1,0.0,58.33,0.0,2021-06-02,-
620,-66,YSun,1401.3,-3.76,1532.62,0.0,43.77,1.25,138,0.0,74,0.0,64,0.0,0,0.0,53.62,0.0,2024-04-04,-
621,-57,brumynut,1401.07,-0.34,1492.39,-1.66,30.44,-0.44,333,21.0,152,11.0,178,9.0,3,1.0,45.65,0.46,2025-01-29,-
-,-,Piter3000,1400.75,-3.48,1546.78,0.0,48.67,1.16,96,0.0,44,0.0,51,0.0,1,0.0,45.83,0.0,2023-06-04,-
-,-,kentropy,1400.52,-2.63,1587.62,0.0,62.37,0.88,60,0.0,32,0.0,28,0.0,0,0.0,53.33,0.0,2021-12-05,-
622,-60,Henstein,1400.09,-1.99,1650.52,0.0,83.47,0.66,30,0.0,15,0.0,15,0.0,0,0.0,50.0,0.0,2024-07-01,-
623,64,Rajasands,1399.38,52.49,1614.98,25.25,71.87,-9.08,33,6.0,19,4.0,13,2.0,1,0.0,57.58,2.02,2025-01-19,-
624,-89,Sapiocek,1399.13,-13.29,1543.13,-19.96,48.0,-2.23,114,9.0,56,3.0,57,6.0,1,0.0,49.12,-1.36,2025-01-13,-
-,-,wep,1398.92,-1.66,1695.19,0.0,98.76,0.55,24,0.0,17,0.0,7,0.0,0,0.0,70.83,0.0,2020-06-28,P
625,115,yliu386,1398.4,72.47,1637.22,37.79,79.61,-11.56,30,6.0,16,4.0,14,2.0,0,0.0,53.33,3.33,2025-01-18,-
626,-71,Zathio,1397.41,-7.53,1504.58,-5.57,35.72,0.65,147,6.0,67,1.0,78,5.0,2,0.0,45.58,-1.23,2025-01-06,-
627,119,florian629,1396.86,73.2,1614.6,39.76,72.58,-11.14,30,6.0,15,3.0,14,3.0,1,0.0,50.0,0.0,2025-01-07,-
628,-42,Netrom,1396.79,2.73,1523.3,-11.07,42.17,-4.6,96,18.0,50,7.0,44,10.0,2,1.0,52.08,-3.05,2025-01-27,-
629,-212,buttoxide,1396.6,-76.61,1602.82,-116.02,68.74,-13.14,42,12.0,28,5.0,14,7.0,0,0.0,66.67,-10.0,2025-02-02,-
630,51,CardinalBadger,1396.47,45.2,1633.02,19.97,78.85,-8.41,30,6.0,19,3.0,11,3.0,0,0.0,63.33,-3.34,2025-01-10,-
-,-,Don_bronzo,1396.44,-1.47,1731.15,0.0,111.57,0.49,24,0.0,17,0.0,7,0.0,0,0.0,70.83,0.0,2023-02-05,-
631,-65,SerBaldur,1396.37,-4.82,1503.48,0.0,35.7,1.61,210,0.0,101,0.0,109,0.0,0,0.0,48.1,0.0,2024-09-04,-
632,274,NateH,1396.3,152.31,1714.74,17.4,106.15,-44.97,12,6.0,8,3.0,4,3.0,0,0.0,66.67,-16.66,2025-01-12,-
-,-,gustn_toh,1395.78,-2.81,1570.15,0.0,58.12,0.94,84,0.0,43,0.0,40,0.0,1,0.0,51.19,0.0,2021-12-05,-
633,-61,shohei,1395.72,-3.86,1491.87,-5.67,32.05,-0.6,234,18.0,109,6.0,123,12.0,2,0.0,46.58,-1.11,2025-01-20,-
-,-,danodan,1395.57,-2.47,1596.18,0.0,66.87,0.82,60,0.0,36,0.0,24,0.0,0,0.0,60.0,0.0,2021-09-05,-
634,-66,JeroenSchreurs,1395.5,-5.05,1497.18,0.0,33.89,1.68,225,0.0,111,0.0,112,0.0,2,0.0,49.33,0.0,2024-10-01,P
635,73,Crowther,1395.25,57.55,1633.37,29.59,79.37,-9.32,36,6.0,23,5.0,13,1.0,0,0.0,63.89,3.89,2025-01-08,-
636,96,JJsDad,1395.14,66.63,1721.55,-30.3,108.8,-32.31,12,6.0,9,4.0,3,2.0,0,0.0,75.0,-8.33,2025-01-11,-
-,-,sTeVej,1395.08,-1.74,1677.29,0.0,94.07,0.58,18,0.0,11,0.0,7,0.0,0,0.0,61.11,0.0,2023-04-16,-
-,-,Aksan,1394.98,-2.58,1586.27,0.0,63.76,0.86,42,0.0,26,0.0,16,0.0,0,0.0,61.9,0.0,2023-12-03,-
637,-55,itsPG,1394.91,-0.59,1495.74,1.14,33.61,0.57,264,9.0,127,5.0,134,4.0,3,0.0,48.11,0.27,2025-01-14,-
638,-9,baralex,1394.7,18.72,1712.34,-96.98,105.88,-38.57,12,6.0,7,2.0,5,4.0,0,0.0,58.33,-25.0,2025-01-19,-
639,-97,justinkejs,1394.37,-14.13,1514.71,-13.16,40.11,0.32,141,6.0,75,1.0,65,5.0,1,0.0,53.19,-1.62,2025-01-25,-
-,-,copesettic,1394.31,-3.63,1533.11,0.0,46.27,1.21,123,0.0,62,0.0,59,0.0,2,0.0,50.41,0.0,2023-06-04,-
640,117,Oleksandr,1394.14,77.23,1594.2,41.08,66.69,-12.05,36,9.0,20,6.0,16,3.0,0,0.0,55.56,3.71,2025-01-04,-
-,-,dayorbyte,1393.67,-2.16,1621.13,0.0,75.82,0.72,48,0.0,22,0.0,26,0.0,0,0.0,45.83,0.0,2020-09-27,P
-,-,jskunsa,1393.64,-2.43,1597.42,0.0,67.93,0.81,48,0.0,22,0.0,26,0.0,0,0.0,45.83,0.0,2021-06-02,-
641,-107,Aardwolf44,1393.46,-19.23,1511.8,-18.84,39.45,0.13,204,6.0,97,0.0,106,6.0,1,0.0,47.55,-1.44,2025-01-19,-
-,-,jezevec_lesni,1393.3,-2.36,1603.13,0.0,69.94,0.79,48,0.0,27,0.0,20,0.0,1,0.0,56.25,0.0,2021-03-02,-
642,-59,JamesH,1393.17,-2.07,1519.52,-3.47,42.12,-0.47,153,6.0,71,1.0,80,5.0,2,0.0,46.41,-1.21,2025-01-08,-
643,-67,Ramonster,1392.74,-4.7,1499.75,0.0,35.67,1.57,183,0.0,96,0.0,86,0.0,1,0.0,52.46,0.0,2024-09-04,-
-,-,FlyingDutchman,1392.67,-2.2,1616.96,0.0,74.77,0.73,66,0.0,34,0.0,32,0.0,0,0.0,51.52,0.0,2019-02-17,-
644,-48,Adrianobf,1392.5,1.07,1482.47,-0.18,29.99,-0.42,273,21.0,129,8.0,140,12.0,4,1.0,47.25,-0.77,2025-01-28,-
645,-65,wirymen,1392.49,-3.98,1519.78,0.0,42.43,1.33,126,0.0,64,0.0,60,0.0,2,0.0,50.79,0.0,2024-07-01,-
646,-96,giannisoad,1392.36,-13.31,1485.71,-14.23,31.12,-0.3,243,18.0,113,6.0,130,12.0,0,0.0,46.5,-1.06,2025-01-20,-
647,-40,luigino71,1391.38,4.72,1475.53,5.66,28.05,0.31,357,21.0,160,12.0,197,9.0,0,0.0,44.82,0.77,2025-01-24,-
648,-118,Levia,1391.18,-24.61,1528.59,-27.39,45.8,-0.92,87,6.0,48,0.0,39,6.0,0,0.0,55.17,-4.09,2025-01-02,-
-,-,Johannes_n94,1390.69,-1.52,1713.95,0.0,107.75,0.51,18,0.0,15,0.0,3,0.0,0,0.0,83.33,0.0,2023-01-15,-
649,624,Urist,1390.64,375.39,1735.01,280.39,114.79,-31.67,12,6.0,8,5.0,4,1.0,0,0.0,66.67,16.67,2025-01-11,-
650,-60,DGMvado,1390.62,-2.44,1593.14,0.0,67.51,0.81,36,0.0,16,0.0,20,0.0,0,0.0,44.44,0.0,2024-07-01,-
-,-,SteelKitten,1390.42,-2.23,1609.93,0.0,73.17,0.74,36,0.0,23,0.0,13,0.0,0,0.0,63.89,0.0,2021-12-05,-
651,121,MechJayTi2,1390.28,82.28,1619.33,29.69,76.35,-17.53,30,9.0,18,5.0,12,4.0,0,0.0,60.0,-1.9,2025-01-13,-
-,-,ttaimmortal,1389.59,-1.93,1643.64,0.0,84.68,0.64,24,0.0,12,0.0,12,0.0,0,0.0,50.0,0.0,2021-09-05,-
652,-34,Phalanxx,1389.24,7.74,1719.66,-87.13,110.14,-31.62,12,6.0,9,3.0,3,3.0,0,0.0,75.0,-25.0,2025-01-09,-
653,151,gulper,1388.62,97.68,1522.12,76.52,44.5,-7.05,96,21.0,48,15.0,46,5.0,2,1.0,50.0,6.0,2025-01-20,-
-,-,Ryk_Longspear,1388.41,-2.51,1583.47,0.0,65.02,0.84,48,0.0,28,0.0,20,0.0,0,0.0,58.33,0.0,2022-03-06,-
-,-,osterangen,1388.4,-3.87,1523.43,0.0,45.01,1.29,162,0.0,83,0.0,76,0.0,3,0.0,51.23,0.0,2023-07-15,-
-,-,pdp01,1388.18,-2.54,1581.52,0.0,64.45,0.85,60,0.0,34,0.0,26,0.0,0,0.0,56.67,0.0,2021-09-05,-
654,-17,greyshade,1388.16,16.63,1486.24,14.04,32.69,-0.87,234,18.0,112,10.0,121,8.0,1,0.0,47.86,0.64,2025-01-23,-
-,-,Steak,1388.14,-2.42,1591.47,0.0,67.78,0.81,36,0.0,25,0.0,11,0.0,0,0.0,69.44,0.0,2023-12-03,-
-,-,Wiles,1387.77,-1.12,1825.31,0.0,145.85,0.37,12,0.0,11,0.0,1,0.0,0,0.0,91.67,0.0,2020-09-27,-
-,-,RootNegative,1387.76,-1.93,1641.95,0.0,84.73,0.64,24,0.0,18,0.0,6,0.0,0,0.0,75.0,0.0,2022-09-04,-
-,-,Milah,1387.63,-2.7,1569.93,0.0,60.77,0.9,60,0.0,32,0.0,27,0.0,1,0.0,53.33,0.0,2022-03-06,-
655,-54,Kelern,1387.38,-1.26,1513.0,-7.89,41.87,-2.21,99,9.0,46,2.0,52,7.0,1,0.0,46.46,-2.43,2025-01-17,-
-,-,Unternehmer,1387.14,-1.11,1829.14,0.0,147.33,0.37,12,0.0,10,0.0,1,0.0,1,0.0,83.33,0.0,2018-10-14,-
656,-54,Pat_the_Cat,1387.09,-1.55,1703.86,0.0,105.59,0.52,18,0.0,13,0.0,5,0.0,0,0.0,72.22,0.0,2024-07-01,-
657,540,Tmer,1386.82,305.54,1696.28,8.59,103.15,-98.98,18,15.0,15,12.0,3,3.0,0,0.0,83.33,-16.67,2025-01-14,-
658,-30,Jappa,1386.61,10.49,1501.42,-5.48,38.27,-5.32,117,27.0,55,12.0,62,15.0,0,0.0,47.01,-0.77,2025-01-20,-
